term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.8031538901557616,0.3039401842158832,5.93259458208071,2.98184509196167e-09,1.207442075638161,2.398865704673362
C(tense)[T.past perfect],-0.0010855538504439724,0.028071911621392238,-0.038670464095388664,0.9691531220256102,-0.056105489605564156,0.053934381904676205
C(tense)[T.present continuous],-0.10058768136160491,0.028071911621392255,-3.583214521270859,0.0003393916545840349,-0.15560761711672513,-0.045567745606484696
C(tense)[T.present perfect],-0.12021920340401535,0.02807191162139225,-4.282544239431207,1.8476838104908605e-05,-0.17523913915913555,-0.06519926764889514
C(tense)[T.simple future],0.255963134765627,0.028071911621392245,9.118122706348572,7.643684276991645e-20,0.20094319901050678,0.3109830705207472
C(tense)[T.simple past],-0.14372820172990824,0.028071911621392245,-5.120000506854686,3.055348354091936e-07,-0.19874813748502845,-0.08870826597478805
C(syntactic_role)[T.subject],-0.47824985196180836,0.056458866278111586,-8.470766125660232,2.4378426908569108e-17,-0.58890719647487,-0.36759250744874666
C(valence)[T.-val],0.15458368916139173,0.033020330605902176,4.681470061773424,2.848249980421002e-06,0.08986503041621781,0.21930234790656566
C(dominance)[T.-dom],0.2410148436694744,0.02965560280227423,8.12712677858605,4.3958555311005757e-16,0.1828909302371918,0.29913875710175697
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.03381609235491055,0.028071911621392255,1.20462378234124,0.22834857139931541,-0.021203843400209664,0.08883602811003077
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.13520420619419646,0.028071911621392276,4.8163519470175205,1.4620655382047074e-06,0.0801842704390762,0.19022414194931672
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.14495413643973196,0.028071911621392262,5.16367172976098,2.4215221394950706e-07,0.08993420068461172,0.1999740721948522
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.2077514648437498,0.028071911621392272,7.4006881913033755,1.354805168499941e-13,0.15273152908862953,0.26277140059887005
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.10528128487723198,0.02807191162139226,3.7504138049865534,0.00017654298500179022,0.05026134912211176,0.1603012206323522
C(tense)[T.past perfect]:C(valence)[T.-val],0.017144775390622865,0.02807191162139231,0.6107448477985953,0.5413685106358062,-0.03787516036449745,0.07216471114574319
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06981462751116282,0.02807191162139231,-2.486992280852021,0.012882819428090976,-0.12483456326628314,-0.014794691756042505
C(tense)[T.present perfect]:C(valence)[T.-val],0.040231759207587175,0.02807191162139231,1.4331677781761185,0.15180989557648095,-0.014788176547533144,0.0952516949627075
C(tense)[T.simple future]:C(valence)[T.-val],0.02691127232142666,0.028071911621392314,0.9586547822029624,0.33773268497308173,-0.028108663433693667,0.08193120807654698
C(tense)[T.simple past]:C(valence)[T.-val],0.10798252650669435,0.028071911621392307,3.8466395863260647,0.00011974892036622405,0.052962590751574036,0.16300246226181467
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.03155604771205528,0.02807191162139223,-1.124114671549762,0.26096438196057714,-0.08657598346717545,0.023463888043064887
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.08299647739955521,0.028071911621392224,-2.9565666392418986,0.003110850009863103,-0.13801641315467536,-0.027976541644435055
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.007223946707591145,0.02807191162139224,-0.2573371847639377,0.7969184894629292,-0.062243882462711335,0.04779598904752904
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.11198381696428696,0.028071911621392227,-3.989176742739158,6.630300704096023e-05,-0.16700375271940712,-0.056963881209166796
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.00036185128348398634,0.028071911621392238,-0.012890154698557725,0.9897154293877858,-0.05538178703860417,0.05465808447163619
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],-0.015538969494047112,0.0162073257312782,-0.9587620901614115,0.337678611132457,-0.047304744213061675,0.016226805224967455
C(valence)[T.-val]:C(dominance)[T.-dom],-0.20159040178571497,0.016207325731278217,-12.438227325601867,1.6206063320469212e-35,-0.23335617650472956,-0.16982462706670037
