term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,27.770368703935553,0.568573788167348,48.8421543199278,0.0,26.655896512974333,28.884840894896772
C(tense)[T.past perfect],0.022083335287069517,0.13180059074140452,0.1675511100735313,0.8669386472214203,-0.23626148501675148,0.2804281555908905
C(tense)[T.present continuous],-0.2911431066566648,0.13180059074140488,-2.208966629200417,0.027191704868121,-0.5494879269604865,-0.0327982863528431
C(tense)[T.present perfect],-0.1032193392929139,0.13180059074140524,-0.7831477743178845,0.4335524444692596,-0.36156415959673627,0.1551254810109085
C(tense)[T.simple future],-0.1603781891425423,0.13180059074140515,-1.216824509210333,0.22368973664535194,-0.41872300944636454,0.09796663116127993
C(tense)[T.simple past],-0.03839088048352059,0.13180059074140574,-0.2912800334775732,0.7708410998431544,-0.29673570078734396,0.2199539398203028
C(semantic_role)[T.patient],0.1887784161444313,0.07609510654390199,2.4808220228395146,0.01311863171412011,0.039622964598273996,0.33793386769058864
C(syntactic_role)[T.subject],-0.525008541359997,0.08951835302570736,-5.864814572819811,4.588943932044484e-09,-0.7004751511546015,-0.34954193156539254
C(valence)[T.-val],0.1090986887613757,0.05963985631783302,1.8292916096237124,0.06737535981977143,-0.007802516891081496,0.2259998944138329
C(dominance)[T.-dom],-0.12496465047200993,0.03652180407789847,-3.4216450590849514,0.0006240605222088394,-0.19655172651317981,-0.05337757443084004
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.17466278076177133,0.07304360815579693,-2.3912123890324226,0.016804826773184848,-0.3178369328441111,-0.031488628679431585
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.01760444641114188,0.07304360815579691,0.2410128258395016,0.8095484009702746,-0.12556970567119785,0.16077859849348158
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.07490043640140895,0.07304360815579716,-1.0254208176799167,0.3051808589357522,-0.21807458848374917,0.06827371568093127
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.07149581909186736,0.07304360815579689,-0.978810068354945,0.327689289021364,-0.21466997117420702,0.0716783329904723
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.08289566040039913,0.07304360815579711,1.1348790468234846,0.256443754677889,-0.06027849168194098,0.22606981248273922
C(tense)[T.past perfect]:C(valence)[T.-val],0.14342498779297796,0.07304360815579697,1.9635528886670326,0.04960002315013261,0.0002508357106381365,0.2865991398753178
C(tense)[T.present continuous]:C(valence)[T.-val],-0.09293251037597608,0.07304360815579705,-1.2722880580838416,0.2032900990055147,-0.23610666245831607,0.050241641706363915
C(tense)[T.present perfect]:C(valence)[T.-val],0.055417251586917876,0.073043608155797,0.7586872142010932,0.44805135809461916,-0.08775690049542201,0.19859140366925776
C(tense)[T.simple future]:C(valence)[T.-val],0.009326934814464465,0.07304360815579711,0.12768995193351812,0.8983960180201138,-0.13384721726787563,0.15250108689680458
C(tense)[T.simple past]:C(valence)[T.-val],0.03029403686525083,0.07304360815579711,0.4147390528769565,0.6783387471923047,-0.11288011521708928,0.17346818894759095
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.0966893513997503,0.04217174683133101,-2.2927518697877622,0.021875779571209116,-0.17935098664548577,-0.01402771615401481
C(semantic_role)[T.patient]:C(valence)[T.-val],0.11107762654621944,0.042171746831331056,2.6339346812092566,0.008448654304770403,0.02841599130048386,0.19373926179195503
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08506495157877936,0.04217174683133105,2.017107612805388,0.043701691335907,0.0024033163330437896,0.1677265868245149
C(valence)[T.-val]:C(dominance)[T.-dom],0.049289449056002764,0.042171746831331035,1.1687789280614695,0.24251089709467158,-0.033372186189732776,0.1319510843017383
log_frequency,1.233672489062157,0.042940347876285694,28.729913707649935,7.599816202548399e-177,1.1495043044320283,1.3178406736922859
C(tense)[T.past perfect]:log_frequency,0.01896701356162092,0.016250689915421054,1.1671512815971103,0.24316744609975896,-0.012886269814397347,0.05082029693763919
C(tense)[T.present continuous]:log_frequency,0.0025051473655339235,0.01625068991542105,0.1541563698878206,0.8774884731197146,-0.02934813601048434,0.03435843074155218
C(tense)[T.present perfect]:log_frequency,0.006468317454245065,0.01625068991542106,0.3980334058375557,0.6906111074704111,-0.025384965921773216,0.03832160083026335
C(tense)[T.simple future]:log_frequency,0.03826712743726696,0.016250689915421047,2.3548001738039117,0.0185452119700359,0.006413844061248702,0.07012041081328521
C(tense)[T.simple past]:log_frequency,0.008876259463138402,0.016250689915421102,0.5462081615818212,0.5849308099424766,-0.022977023912879965,0.040729542839156765
