term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.2439745221862022,0.2700039847339719,4.607245050149385,4.080390303241933e-06,0.7147764364253146,1.7731726079470898
C(tense)[T.past perfect],-0.05385437011719374,0.03902178092183499,-1.3801105137940806,0.16755262060613973,-0.13033565533660252,0.022626915102215026
C(tense)[T.present continuous],0.07651672363280643,0.03902178092183503,1.9608721546071395,0.04989393831053391,3.5438413397578805e-05,0.15299800885221526
C(tense)[T.present perfect],-0.03640790666853267,0.03902178092183491,-0.933014993381821,0.350812227079381,-0.1128891918879413,0.040073378550875956
C(tense)[T.simple future],0.3355730329241022,0.039021780921834906,8.599633973556804,7.997073906253822e-18,0.25909174770469356,0.4120543181435108
C(tense)[T.simple past],0.021778651646199805,0.039021780921834816,0.5581152661849286,0.5767656766590472,-0.05470263357320863,0.09825993686560824
C(syntactic_role)[T.subject],-0.33415411086366886,0.07828339578883188,-4.268518342830245,1.9677564895447708e-05,-0.4875867471972739,-0.18072147453006385
C(valence)[T.-val],0.09489833286830039,0.030226141529924592,3.139611212841997,0.001691721878272336,0.035656184078037785,0.154140481658563
C(dominance)[T.-dom],0.15414719354538323,0.03022614152992459,5.099797253075583,3.4001749631872586e-07,0.09490504475512063,0.21338934233564583
C(semantic_role)[T.patient],0.12112107049899767,0.04353995935875448,2.781837013236535,0.005405217789324102,0.035784318267501225,0.20645782273049412
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.10086582728794233,0.03490214189773096,-2.889960953786042,0.0038528967931130862,-0.16927276839080146,-0.032458886185083205
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.1258972167968709,0.03490214189773098,-3.6071487293178306,0.0003095802263503944,-0.19430415789973007,-0.057490275694011744
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.05287824358258522,0.034902141897730915,-1.5150429374084626,0.1297615308509592,-0.12128518468544427,0.015528697520273832
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.10905761718749624,0.034902141897730915,-3.124668322851165,0.0017800564653885585,-0.1774645582903553,-0.04065067608463718
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.023291887555807675,0.034902141897730894,0.6673483714568806,0.5045496356109533,-0.04511505354705134,0.09169882865866669
C(tense)[T.past perfect]:C(valence)[T.-val],0.09318934849330526,0.03490214189773132,2.6700180397628457,0.007584717184254574,0.024782407390445432,0.1615962895961651
C(tense)[T.present continuous]:C(valence)[T.-val],-0.03956211635044486,0.03490214189773132,-1.1335154291208829,0.2569978655665479,-0.10796905745330469,0.02884482475241497
C(tense)[T.present perfect]:C(valence)[T.-val],0.08874075753348364,0.034902141897731304,2.5425590725494107,0.011004399805090288,0.020333816430623833,0.15714769863634342
C(tense)[T.simple future]:C(valence)[T.-val],0.028327287946429754,0.034902141897731304,0.8116203306213443,0.4170095217640134,-0.04007965315643005,0.09673422904928955
C(tense)[T.simple past]:C(valence)[T.-val],0.11464059012276927,0.03490214189773132,3.284629076882558,0.0010211671118836147,0.04623364901990944,0.1830475312256291
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.0947675432477657,0.03490214189773132,-2.715235744713012,0.0066228607411242015,-0.16317448435062554,-0.026360602144905876
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.05017874581473008,0.03490214189773132,-1.4376981780018423,0.1505197102986187,-0.11858568691758992,0.018228195288129752
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09292428152901587,0.03490214189773131,-2.6624234639036892,0.007758021023104033,-0.1613312226318757,-0.024517340426156053
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.10527343749999854,0.03490214189773131,-3.0162457596002574,0.0025592573862401125,-0.17368037860285834,-0.03686649639713872
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.09560982840401613,0.03490214189773132,-2.7393685087914585,0.006155733295026426,-0.16401676950687596,-0.027202887301156303
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.010690743582586771,0.03490214189773132,-0.3063062322625444,0.7593714944724196,-0.0790976846854466,0.05771619752027306
C(tense)[T.present continuous]:C(semantic_role)[T.patient],0.0222734723772345,0.03490214189773133,0.6381692115773071,0.5233635367572427,-0.04613346872562536,0.09068041348009435
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.06509225027902021,0.034902141897731304,1.8649929987033638,0.06218238558238681,-0.003314690823839589,0.13349919138188002
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.006070382254466105,0.0349021418977313,0.17392578003531328,0.861923791865593,-0.06233655884839368,0.07447732335732589
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.03464617047991283,0.03490214189773126,0.9926660255244945,0.3208727369042603,-0.033760770622946905,0.10305311158277256
C(syntactic_role)[T.subject]:C(valence)[T.-val],0.06641845703125106,0.020150761019949687,3.2960768561294214,0.0009804518902157638,0.026923691171076063,0.10591322289142605
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.061034574962798585,0.020150761019949687,3.0288967698228886,0.002454485368754191,0.02153980910262359,0.10052934082297357
C(valence)[T.-val]:C(dominance)[T.-dom],-0.2775361560639872,0.0201507610199497,-13.77298632985723,3.7057229967354405e-43,-0.3170309219241622,-0.23804139020381215
C(valence)[T.-val]:C(semantic_role)[T.patient],0.03711344401041795,0.02015076101994972,1.8417887033484632,0.06550606310771097,-0.0023813218497571106,0.076608209870593
C(dominance)[T.-dom]:C(semantic_role)[T.patient],-0.061177571614582,0.02015076101994972,-3.035993109839117,0.0023974484288267067,-0.10067233747475707,-0.021682805754406946
