term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,27.69591010995731,0.5890780719673879,47.01568676195876,0.0,26.541246978829324,28.850573241085296
C(tense)[T.past perfect],0.17637878708608978,0.2151846129367159,0.8196626360917423,0.4124212212764825,-0.24540866481184387,0.5981662389840234
C(tense)[T.present continuous],-0.45737839870117264,0.21518461293671814,-2.125516283246885,0.03355952762598288,-0.8791658505991107,-0.0355909468032346
C(tense)[T.present perfect],-0.15857525384240514,0.2151846129367163,-0.7369265472947203,0.4611783164196947,-0.5803627057403397,0.2632121980555293
C(tense)[T.simple future],-0.2311480587370512,0.215184612936718,-1.0741848851666163,0.2827567623129142,-0.652935510634989,0.19063939316088663
C(tense)[T.simple past],0.06537660455011211,0.21518461293671828,0.30381635405008317,0.7612719371800035,-0.3564108473478262,0.48716405644805044
C(semantic_role)[T.patient],0.1520020232362911,0.13288377341923005,1.1438719666452097,0.25269463083630617,-0.10846598804090415,0.4124700345134864
C(syntactic_role)[T.subject],-0.37606939268546796,0.13288377341923235,-2.8300625652690803,0.00465995116042953,-0.6365374039626677,-0.1156013814082682
C(valence)[T.-val],0.23946451973781357,0.12423689420447942,1.9274831463806794,0.05393793310530947,-0.004054579156266835,0.482983618631894
C(dominance)[T.-dom],-0.10398870865762852,0.13288377341923172,-0.782553851248317,0.43390125934455764,-0.364456719934827,0.15647930261956997
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.007498931884758031,0.0730472398913226,0.1026586616539476,0.9182352285764693,-0.13568235213669358,0.15068021590620964
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.052304458618207234,0.07304723989132271,-0.7160360705760285,0.473980002422888,-0.19548574263965907,0.0908768254032446
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.08350105285644824,0.07304723989132238,-1.1431103075308355,0.2530106777412638,-0.22668233687789943,0.059680231165002956
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.04041671752929386,0.07304723989132265,0.5532956151310379,0.5800690860307517,-0.10276456649215787,0.18359800155074557
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0017555236816384808,0.07304723989132263,-0.024032717516093604,0.9808268247832277,-0.14493680770309014,0.1414257603398132
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.17466278076173714,0.07304723989132257,-2.391093503623067,0.016810281501447758,-0.3178440647831887,-0.03148149674028558
