predictor,unique_r2,relative_r2
male_perc:C(tense),0.0009466875172876588,0.2356489167446895
C(semantic_role):C(syntactic_role),0.000758851734665722,0.18889294088945846
"male_perc:C(valence, Treatment(reference='-val'))",0.0006836288297025206,0.17016849829856615
C(syntactic_role):C(tense),0.00040034355389106935,0.09965328904984766
male_perc:C(semantic_role),0.0003101469116033595,0.07720159230623394
"C(dominance, Treatment(reference='-dom')):C(tense)",0.00030340932330474857,0.075524475670548
male_perc:C(syntactic_role),0.00028360815425965136,0.07059557996785142
"C(valence, Treatment(reference='-val')):C(tense)",0.0002026531824323996,0.050444314563142335
C(semantic_role):C(tense),6.75535292422591e-05,0.016815385961598105
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",6.0481444042359556e-05,0.015055006548064452
C(tense),0.0,0.0
C(syntactic_role),0.0,0.0
C(semantic_role),0.0,0.0
"C(valence, Treatment(reference='-val'))",0.0,0.0
"C(dominance, Treatment(reference='-dom'))",0.0,0.0
male_perc,0.0,0.0
