term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,0.04041700664830193,2.305871234310458,0.017527868012277854,0.986015500800204,-4.479007565587116,4.55984157888372
C(tense)[T.past perfect],0.055280185635395364,0.043709529922793776,1.2647170018309368,0.20597279303683813,-0.030388918794456245,0.14094929006524698
C(tense)[T.present continuous],0.2614331770905354,0.04370952992279382,5.981148219903463,2.2157013784175498e-09,0.17576407266068367,0.3471022815203871
C(tense)[T.present perfect],0.042390091158750705,0.04370952992279394,0.9698134762287808,0.33213947430107504,-0.04327901327110124,0.12805919558860265
C(tense)[T.simple future],0.11938760157549332,0.04370952992279404,2.731386079566003,0.0063068540841591195,0.033718497145641194,0.20505670600534542
C(tense)[T.simple past],-0.06208349542264263,0.043709529922794185,-1.4203652048489903,0.15550138716710094,-0.14775259985249506,0.023585609007209782
C(semantic_role)[T.patient],0.15464521542755102,0.05048447057583498,3.063223475727086,0.0021896647125117996,0.055697471320342376,0.2535929595347597
C(syntactic_role)[T.subject],0.040793518861286154,0.1383729420434183,0.29480849549680077,0.7681401762550164,-0.2304124639786619,0.31199950170123425
C(valence)[T.-val],0.02805924880585406,0.07669363270490848,0.3658615170025482,0.714468413403607,-0.12225750913930977,0.1783760067510179
C(dominance)[T.-dom],-0.003759407416084359,0.05186249988279582,-0.07248797155131843,0.9422135775984518,-0.10540803933457694,0.09788922450240824
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.032337379455565196,0.02021177908375765,1.599927414680273,0.10961468678267829,-0.007276979612079772,0.07195173852321016
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.02392158508300859,0.02021177908375765,-1.1835467320257904,0.23659253719768958,-0.06353594415065356,0.01569277398463638
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.016667175292967348,0.020211779083757653,0.8246268289346791,0.40958348487381013,-0.022947183774677627,0.056281534360612326
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.04298629760742092,0.020211779083757656,2.126794352406367,0.033437173763264924,0.003371938539775937,0.0826006566750659
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.007910919189451398,0.020211779083757653,0.3914014276857338,0.6955005371866833,-0.03170343987819357,0.047525278257096376
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.008520317077636112,0.020211779083757618,0.42155205844710236,0.6733520055861781,-0.031094041990008793,0.04813467614528102
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.04037857055664069,0.02021177908375762,-1.997774188472567,0.045741146891315816,-0.0799929296242856,-0.0007642114889957752
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.05762329101562421,0.020211779083757618,2.850975699706259,0.004358530028788458,0.018008931947979305,0.09723765008326912
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.13569984436035118,0.020211779083757625,6.71389904857019,1.894914317770522e-11,0.09608548529270626,0.17531420342799608
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.017344284057616247,0.020211779083757625,0.8581275297806058,0.3908220473328561,-0.022270075010028673,0.056958643125261166
C(tense)[T.past perfect]:C(valence)[T.-val],-0.0607522964477536,0.020211779083757635,-3.00578668488291,0.00264894757117291,-0.10036665551539854,-0.021137937380108662
C(tense)[T.present continuous]:C(valence)[T.-val],-0.045071411132811594,0.02021177908375764,-2.2299576373774723,0.025750255373107666,-0.08468577020045653,-0.005457052065166647
C(tense)[T.present perfect]:C(valence)[T.-val],-0.0313953399658199,0.02021177908375763,-1.5533189748273808,0.12034694930120286,-0.07100969903346482,0.008219019101825029
C(tense)[T.simple future]:C(valence)[T.-val],0.07471237182617249,0.020211779083757625,3.6964767681540738,0.00021861225411370406,0.03509801275852757,0.11432673089381741
C(tense)[T.simple past]:C(valence)[T.-val],-0.022147369384765345,0.020211779083757625,-1.0957654589923347,0.2731814280126996,-0.061761728452410264,0.017466989682879575
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.0021100997924782374,0.02021177908375777,0.10439950801628928,0.9168523130959433,-0.037504259275166964,0.041724458860123444
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.048694992065431375,0.02021177908375777,-2.4092382893974325,0.01598585669998456,-0.08830935113307659,-0.009080632997786171
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.007619857788088143,0.020211779083757778,-0.37700084473075773,0.7061729771508345,-0.04723421685573336,0.031994501279557074
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.1285545349121115,0.02021177908375778,-6.360377004883164,2.012591569398832e-10,-0.1681688939797567,-0.08894017584446627
C(tense)[T.simple past]:C(dominance)[T.-dom],0.03194732666015384,0.02021177908375778,1.5806291236295356,0.11396286271676273,-0.007667032407491385,0.07156168572779906
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.154681205749512,0.01166927609480877,-13.25542428620092,4.197363081658182e-40,-0.1775525666209914,-0.1318098448780326
C(semantic_role)[T.patient]:C(valence)[T.-val],0.05103638966878223,0.011669276094808763,4.373569470302144,1.222313234117859e-05,0.02816502879730285,0.07390775054026161
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.05657075246175194,0.011669276094808773,-4.847837346732945,1.2481466902055179e-06,-0.07944211333323134,-0.033699391590272534
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.008976427714029825,0.011669276094808759,-0.7692360383882866,0.44175319997134654,-0.031847788585509205,0.013894933157449553
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.019149208068847418,0.011669276094808766,1.6409936583269462,0.10079873161524623,-0.0037221528026319707,0.04202056894032681
C(valence)[T.-val]:C(dominance)[T.-dom],-0.0490007400512697,0.011669276094808766,-4.199124234713097,2.679492870737134e-05,-0.0718721009227491,-0.02612937917979031
log_frequency,0.11135938305796077,0.28302127406910205,0.39346647499993737,0.6939749804257765,-0.4433521209761191,0.6660708870920407
C(tense)[T.past perfect]:log_frequency,0.012964160720696295,0.006044918635283346,2.1446377532736833,0.031981821317798656,0.0011163379060659222,0.024811983535326668
C(tense)[T.present continuous]:log_frequency,0.020685473866551538,0.006044918635283341,3.4219606771567332,0.000621713044763524,0.008837651051921174,0.032533296681181906
C(tense)[T.present perfect]:log_frequency,0.03661121087487058,0.006044918635283346,6.0565266604542956,1.390920969980167e-09,0.024763388060240206,0.04845903368950095
C(tense)[T.simple future]:log_frequency,0.06102878808044387,0.006044918635283344,10.095882469654326,5.761054765338202e-24,0.049180965265813496,0.07287661089507423
C(tense)[T.simple past]:log_frequency,0.022703971948630164,0.00604491863528334,3.7558771785794227,0.00017273539618197108,0.010856149133999803,0.03455179476326052
C(semantic_role)[T.patient]:log_frequency,-0.007866356324366339,0.0063940594544347985,-1.2302601157251334,0.21859971467979666,-0.02039848257006637,0.0046657699213336935
C(syntactic_role)[T.subject]:log_frequency,0.002704805638598636,0.021355668332562753,0.12665516229592286,0.8992133352519056,-0.039151535159006906,0.04456114643620418
C(valence)[T.-val]:log_frequency,-0.0158913382617668,0.011140763059592171,-1.426413808171281,0.15374893024746225,-0.037726832618861714,0.005944156095328116
C(dominance)[T.-dom]:log_frequency,-0.010233981817293267,0.007590724455037603,-1.348222014632801,0.17758698600207012,-0.0251115283657344,0.004643564731147864
lex_emb_norm,28.831984680051587,21.847779232204818,1.3196757608000573,0.1869432962204156,-13.988875757252014,71.65284511735518
C(tense)[T.past perfect]:lex_emb_norm,-0.8322146932262507,0.4194817780474191,-1.9839114278098045,0.04726571473536299,-1.6543838703700169,-0.010045516082484607
C(tense)[T.present continuous]:lex_emb_norm,-2.3158088525669163,0.4194817780474199,-5.520642310963811,3.377627120164679e-08,-3.137978029710684,-1.4936396754231487
C(tense)[T.present perfect]:lex_emb_norm,-2.2857607950678025,0.4194817780474214,-5.4490109336987755,5.0650699910784447e-08,-3.107929972211573,-1.4635916179240318
C(tense)[T.simple future]:lex_emb_norm,-1.8376408675213374,0.41948177804742176,-4.38074062734042,1.1827659557923924e-05,-2.6598100446651087,-1.015471690377566
C(tense)[T.simple past]:lex_emb_norm,-1.3118998830181297,0.41948177804742204,-3.1274299663853826,0.0017634182684482464,-2.1340690601619015,-0.48973070587435774
C(syntactic_role)[T.subject]:lex_emb_norm,-0.8437988442963816,1.4675787865505114,-0.5749598263679587,0.5653184671339097,-3.7202004104103796,2.032602721817616
C(valence)[T.-val]:lex_emb_norm,1.339590195220314,0.6556629578484214,2.0431079401163994,0.04104175408505722,0.0545144118404044,2.6246659786002233
C(dominance)[T.-dom]:lex_emb_norm,0.6179247160057066,0.5111639529098145,1.2088581608467373,0.2267173424827158,-0.3839382218926579,1.6197876539040712
log_frequency:lex_emb_norm,-2.3173293850004932,2.40659269169888,-0.9629088432761037,0.3355932712788483,-7.034164386187603,2.3995056161866173
