term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.86362163837471,0.6993868865470699,75.5856631790263,0.0,51.49274010917544,54.234503167573976
C(tense)[T.past perfect],0.27397478200273095,0.25820930824499394,1.0610569536198844,0.2886807631616035,-0.23214619073666587,0.7800957547421278
C(tense)[T.present continuous],-0.0931230650544855,0.25820930824498706,-0.36064952765425107,0.7183664373943991,-0.5992440377938689,0.41299790768489786
C(tense)[T.present perfect],-0.09218012079010271,0.25820930824499233,-0.3569976675768831,0.7210984740337543,-0.5983010935294965,0.413940851949291
C(tense)[T.simple future],0.4135316830785504,0.25820930824498906,1.6015366986158046,0.10927873769291485,-0.09258928966083685,0.9196526558179376
C(tense)[T.simple past],0.042251876215375406,0.25820930824498356,0.16363421017838642,0.870021272621657,-0.4638690965240011,0.5483728489547519
C(semantic_role)[T.patient],-0.08332458932346232,0.14242842983597048,-0.5850277884789163,0.5585376570451963,-0.3625012617071307,0.19585208306020607
C(syntactic_role)[T.subject],-0.44443588289854247,0.1490772136225121,-2.9812462421247474,0.0028752948914511638,-0.7366449627521442,-0.15222680304494074
C(valence)[T.-val],0.2603760477424858,0.15496900088852283,1.6801814959740733,0.09294241764303074,-0.043381636313322314,0.564133731798294
C(dominance)[T.-dom],-0.32032755525849077,0.15496900088852286,-2.0670427854724234,0.03874689804191993,-0.6240852393142989,-0.016569871202682607
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.045387649536136665,0.06556905882993676,-0.6922113927829341,0.48881508720273037,-0.17391080798527722,0.08313550891300389
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.08174285888675215,0.06556905882993667,-1.246668174676179,0.2125382730347921,-0.21026601733589254,0.046780299562388244
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.07462654113770285,0.06556905882993685,-1.1381365306959481,0.25508129299819027,-0.2031496995868436,0.0538966173114379
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.11838722229006275,0.06556905882993684,-1.8055348727380351,0.07101066617547887,-0.24691038073920346,0.010135936159077971
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.04445838928224136,0.06556905882993674,-0.6780391555954907,0.4977571181432364,-0.17298154773138189,0.08406476916689917
C(tense)[T.past perfect]:C(valence)[T.-val],0.05438194274902722,0.06556905882993669,0.829384220537236,0.406899963382712,-0.0741412157001132,0.18290510119816764
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06632690429688216,0.06556905882993684,-1.0115579738442015,0.31176544097316655,-0.1948500627460229,0.06219625415225856
C(tense)[T.present perfect]:C(valence)[T.-val],-0.024754714965818502,0.06556905882993669,-0.37753653030194645,0.7057801575376833,-0.1532778734149589,0.10376844348332191
C(tense)[T.simple future]:C(valence)[T.-val],0.0355678558349648,0.06556905882993679,0.542448777970344,0.5875172833686478,-0.09295530261417581,0.1640910142841054
C(tense)[T.simple past]:C(valence)[T.-val],0.04035453796387078,0.06556905882993667,0.6154509258480652,0.5382661204138781,-0.0881686204852696,0.16887769641301117
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.025342178344723302,0.06556905882993679,0.3864959905929419,0.6991347447298217,-0.10318098010441731,0.1538653367938639
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.031083679199219477,0.06556905882993695,-0.4740601703593092,0.6354637632671323,-0.1596068376483604,0.09743947924992144
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.0026165008544911227,0.06556905882993685,0.0399045052831612,0.9681697797907582,-0.12590665759464964,0.13113965930363186
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.047475051879881935,0.06556905882993691,-0.7240465659727636,0.4690482150227014,-0.1759982103290228,0.08104810656925893
C(tense)[T.simple past]:C(dominance)[T.-dom],0.05651588439941089,0.06556905882993662,0.8619291691526865,0.3887400014011237,-0.0720072740497294,0.18503904284855116
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.11002095540365053,0.037856313765974425,-2.906277565316946,0.003662813065254941,-0.18422383553136282,-0.03581807527593825
C(semantic_role)[T.patient]:C(valence)[T.-val],0.037567138671870066,0.037856313765974405,0.992361245315854,0.3210370263254857,-0.036635741455842176,0.11177001879958232
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.03864237467447919,0.037856313765974405,-1.0207643278044494,0.30738224443833617,-0.11284525480219143,0.035560505453233054
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.03250427246092444,0.03785631376597441,-0.8586222277706174,0.39056241819964643,-0.1067071525886367,0.04169860766678782
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08038380940757328,0.03785631376597441,2.123392412280325,0.03373698223271613,0.006180929279861025,0.15458668953528554
C(valence)[T.-val]:C(dominance)[T.-dom],-0.0498906453450334,0.03785631376597441,-1.3178949660406596,0.18755853747930795,-0.12409352547274566,0.024312234782678854
log_frequency,-2.967842502495133,0.09390680654891731,-31.604125532148135,2.0343499299011897e-212,-3.1519110188488995,-2.783773986141367
C(tense)[T.past perfect]:log_frequency,0.03888529818830133,0.02251500581587964,1.7270836395199092,0.08417282093184972,-0.00524679264226658,0.08301738901886924
C(tense)[T.present continuous]:log_frequency,0.0033746899251794827,0.02251500581587979,0.14988625598307953,0.8808563305189013,-0.04075740090538872,0.047506780755747685
C(tense)[T.present perfect]:log_frequency,0.021087630669920913,0.022515005815879983,0.9366033854207432,0.34897738921461985,-0.02304446016064767,0.06521972150048949
C(tense)[T.simple future]:log_frequency,0.06463244818708999,0.022515005815879792,2.870638751578951,0.0041020504652152425,0.02050035735652178,0.1087645390176582
C(tense)[T.simple past]:log_frequency,0.02589915933684129,0.0225150058158793,1.1503065799154815,0.2500355954205848,-0.018232931493725957,0.07003125016740853
C(syntactic_role)[T.subject]:log_frequency,-0.014924657189539343,0.012999044668604187,-1.1481349260677574,0.2509308139434636,-0.040404331710468915,0.010555017331390228
C(valence)[T.-val]:log_frequency,0.006019884250625051,0.01299904466860419,0.463102051273392,0.6432978048470773,-0.019459790270304526,0.03149955877155463
C(dominance)[T.-dom]:log_frequency,-0.012768771536164531,0.012999044668604178,-0.9822853803252317,0.32597480306973453,-0.038248446057094085,0.012710902984765023
lex_emb_norm,-14.740814797935627,0.5927142067206652,-24.870021050267635,7.043742580864464e-134,-15.902605179935689,-13.579024415935566
C(tense)[T.past perfect]:lex_emb_norm,-0.5079251708314759,0.39433347430064075,-1.288059989663045,0.19774455618396702,-1.280865708696906,0.2650153670339541
C(tense)[T.present continuous]:lex_emb_norm,0.17112752420340652,0.3943334743006353,0.43396651655532764,0.6643188733677506,-0.6018130136620129,0.9440680620688259
C(tense)[T.present perfect]:lex_emb_norm,0.07439794899234198,0.39433347430064003,0.18866759694770663,0.8503558510019907,-0.6985425888730866,0.8473384868577706
C(tense)[T.simple future]:lex_emb_norm,-0.5982394978472545,0.39433347430063614,-1.5170903228752077,0.1292645360436445,-1.3711800357126755,0.17470104001816655
C(tense)[T.simple past]:lex_emb_norm,-0.18675854523760546,0.39433347430062576,-0.47360560898065535,0.6357879306320112,-0.9596990831030062,0.5861819926277952
C(semantic_role)[T.patient]:lex_emb_norm,0.20827923018166694,0.1475093297490934,1.4119732666126297,0.15797816478733437,-0.08085661069170341,0.4974150710550373
C(syntactic_role)[T.subject]:lex_emb_norm,0.46232311735042164,0.22766853753795283,2.0306851458267543,0.042304197318112496,0.016065689746246337,0.908580544954597
C(valence)[T.-val]:lex_emb_norm,-0.24524315354010554,0.22766853753795258,-1.0771938722504564,0.28141064155068374,-0.6915005811442804,0.20101427406406927
C(dominance)[T.-dom]:lex_emb_norm,0.4687557625135114,0.2276685375379525,2.058939577610145,0.03951691074179177,0.02249833490933678,0.9150131901176861
log_frequency:lex_emb_norm,3.3912483283457875,0.09601574956130773,35.3197089419212,9.084385269071106e-263,3.203046032709865,3.57945062398171
profession_embedding_1,-40.58928502580181,0.5995216834188649,-67.7027806472906,0.0,-41.76441887226414,-39.41415117933948
profession_embedding_2,3.3729015413880696,0.09855638343936446,34.223065251407114,2.0827491565854522e-247,3.1797193009992775,3.566083781776862
profession_embedding_3,-9.23189861809451,0.17872972085533964,-51.65284527897086,0.0,-9.582230140964771,-8.881567095224248
profession_embedding_4,-5.142846043418622,0.16862006356622605,-30.49960920812222,2.1626004903595397e-198,-5.473361434887558,-4.8123306519496865
profession_embedding_5,-0.24394157312806802,0.16056511470067836,-1.5192688248802866,0.1287155010379182,-0.5586683062294713,0.07078515997333518
