term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,0.5053535143331437,0.18045313005486413,2.800469652033735,0.0051028305317374345,0.1516718785280876,0.8590351501381998
C(tense)[T.past perfect],-0.10658351353236634,0.029983662862639454,-3.554719582482119,0.00037838240913644507,-0.1653504128677308,-0.04781661419700187
C(tense)[T.present continuous],0.06256408691406193,0.029983662862639458,2.0866058693588987,0.036923776301957284,0.0037971875786974515,0.1213309862494264
C(tense)[T.present perfect],-0.050323922293527036,0.029983662862639458,-1.6783780728882245,0.09327331541762722,-0.10909082162889151,0.00844297704183744
C(tense)[T.simple future],0.2859715053013387,0.029983662862639447,9.537577400447223,1.4620776515464881e-21,0.22720460596597425,0.34473840463670313
C(tense)[T.simple past],-0.008703177315848538,0.029983662862639458,-0.29026397994532405,0.7716142929836437,-0.06747007665121302,0.050063722019515935
C(syntactic_role)[T.subject],-0.20684939907019725,0.09387286843596397,-2.203505682915197,0.02755912687175585,-0.3908368403301535,-0.02286195781024103
C(valence)[T.-val],0.06926426659258482,0.03724377115401557,1.8597543816428708,0.06292028417864685,-0.003732183517737464,0.1422607167029071
C(dominance)[T.-dom],-0.029471753625119203,0.029397875978453,-1.0025130266798987,0.3160958782068296,-0.08709053176486228,0.028147024514623878
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.10086582728794657,0.0346221516500718,-2.913332143750153,0.0035759402818116575,-0.1687239975893713,-0.03300765698652185
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.125897216796875,0.034622151650071806,-3.6363198356163946,0.0002765609145379853,-0.19375538709829973,-0.05803904649545025
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.05287824358258939,0.034622151650071806,-1.5272951293447334,0.12668764009520392,-0.12073641388401413,0.01497992671883535
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.10905761718750032,0.0346221516500718,-3.149937597459347,0.0016330533975831344,-0.17691578748892506,-0.04119944688607559
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.023291887555803487,0.03462215165007181,0.6727452352244311,0.5011093839693046,-0.04456628274562127,0.09115005785722824
C(tense)[T.past perfect]:C(valence)[T.-val],0.09318934849330347,0.0346221516500717,2.691610545617562,0.00711079280332332,0.02533117819187894,0.161047518794728
C(tense)[T.present continuous]:C(valence)[T.-val],-0.039562116350446264,0.03462215165007171,-1.1426821980997337,0.2531705636150271,-0.10742028665187081,0.028296053950978284
C(tense)[T.present perfect]:C(valence)[T.-val],0.08874075753348201,0.034622151650071716,2.563120814396242,0.01037359442850146,0.02088258723205745,0.1565989278349066
C(tense)[T.simple future]:C(valence)[T.-val],0.02832728794642883,0.0346221516500717,0.8181839255033754,0.41325217237773615,-0.0395308823549957,0.09618545824785336
C(tense)[T.simple past]:C(valence)[T.-val],0.11464059012276784,0.0346221516500717,3.311191958300212,0.0009289945798719904,0.046782419821343305,0.18249876042419239
C(syntactic_role)[T.subject]:C(valence)[T.-val],0.0664184570312499,0.019989108575092937,3.3227323160378153,0.0008914041016313957,0.027240524141006993,0.10559638992149281
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0610345749627978,0.019989108575092947,3.053391537371946,0.0022627050072216662,0.021856642072554867,0.10021250785304073
C(valence)[T.-val]:C(dominance)[T.-dom],-0.2775361560639883,0.01998910857509296,-13.88436883122476,7.879137087881006e-44,-0.31671408895423125,-0.23835822317374533
