term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,27.691742793134594,0.5873474509600999,47.14712347498682,0.0,26.54047186729769,28.8430137189715
C(tense)[T.past perfect],0.10466629318956722,0.21820502900555527,0.47966948180145985,0.6314692880574019,-0.32304154031656546,0.5323741266956998
C(tense)[T.present continuous],-0.4109121435131822,0.21820502900555772,-1.8831469897181712,0.05969940354576756,-0.8386199770193197,0.01679568999295522
C(tense)[T.present perfect],-0.1862838796358607,0.2182050290055561,-0.8537102947848072,0.393278893984318,-0.613991713141995,0.24142395387027357
C(tense)[T.simple future],-0.23581152614427445,0.21820502900555722,-1.0806878614070294,0.27985301837671095,-0.6635193596504109,0.191896307361862
C(tense)[T.simple past],0.05022958611746849,0.21820502900555813,0.2301944476091293,0.8179437536813136,-0.3774782473886698,0.47793741962360675
C(semantic_role)[T.patient],0.15684083956115333,0.1311656236914456,1.1957465313480777,0.23181401868640128,-0.1002593977487787,0.4139410768710854
C(syntactic_role)[T.subject],-0.3760693926854817,0.1328489599244497,-2.8308041922146003,0.004649167429075448,-0.6364691694082392,-0.11566961596272413
C(valence)[T.-val],0.21520940295720956,0.13284895992444978,1.6199554974280381,0.10526244596709827,-0.04519037376554816,0.4756091796799673
C(dominance)[T.-dom],-0.07139895823152104,0.08949935029624859,-0.7977595144007851,0.4250224405397516,-0.24682833944179725,0.10403042297875517
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.007498931884751259,0.07302810264349095,0.1026855636844297,0.9182138773198257,-0.1356448430734134,0.15064270684291592
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.05230445861819618,0.07302810264349077,-0.7162237101179603,0.47386415625931905,-0.19544823357636049,0.09083931633996811
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.08350105285644002,0.07302810264349106,-1.1434098632423173,0.25288634915977665,-0.2266448278146049,0.05964272210172486
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.040416717529289846,0.07302810264349092,0.5534406080162927,0.5799698258584592,-0.10272705742887475,0.18356049248745446
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0017555236816425095,0.07302810264349086,-0.02403901536662726,0.9808218014204456,-0.14489929863980697,0.14138825127652196
