term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,49.69936734226331,0.637495096473289,77.96039156568746,0.0,48.449801093589926,50.94893359093669
C(tense)[T.past perfect],-0.06313952354609542,0.23340366707314603,-0.27051641620655525,0.786766636945484,-0.5206384851924979,0.3943594381003071
C(tense)[T.present continuous],-0.34400212556573895,0.23340366707314758,-1.4738505606166434,0.14054239827456141,-0.8015010872121444,0.11349683608066657
C(tense)[T.present perfect],-0.3439552609677007,0.23340366707314397,-1.4736497728628748,0.140596478956113,-0.8014542226140992,0.11354370067869779
C(tense)[T.simple future],0.20550133788783073,0.2334036670731453,0.8804546238060159,0.3786269013015006,-0.2519976237585704,0.6630002995342318
C(tense)[T.simple past],-0.24170364225478952,0.23340366707314525,-1.0355606031632878,0.3004235410509431,-0.6992026039011905,0.21579531939161145
C(semantic_role)[T.patient],-0.21632587998006778,0.13475567001452762,-1.6053193157419372,0.10844418193041654,-0.4804630286405944,0.0478112686804589
C(syntactic_role)[T.subject],-0.5117606069053791,0.13916820386645318,-3.6772811079495447,0.0002365399912311237,-0.7845468469910756,-0.23897436681968254
C(valence)[T.-val],0.2303268709040073,0.07581847724012356,3.037872551496155,0.0023865616672233544,0.08171363339177293,0.3789401084162417
C(dominance)[T.-dom],-0.04136709572620592,0.13916820386645323,-0.2972453087481252,0.7662832668489534,-0.3141533358119025,0.2314191443594907
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.019978713989221353,0.06021706650984916,0.33177826731153726,0.7400612387932838,-0.0980539019808385,0.13801132995928123
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.121361541748071,0.06021706650984911,2.0154010944425713,0.04388008657495516,0.003328925778011249,0.23939415771813075
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.16780738830567002,0.060217066509849176,2.7867081216622074,0.005331199024727193,0.04977477233561013,0.2858400042757299
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.165739059448186,0.06021706650984921,2.752360236961683,0.005923707999568874,0.047706443478126054,0.283771675418246
