term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.4675044688211676,0.23887291206664227,6.143452834918988,8.074665634189458e-10,0.9993221642883454,1.9356867733539898
C(tense)[T.past perfect],-0.040357792810194026,0.030401181396314238,-1.3275073847981087,0.18434089871202852,-0.09994301343443904,0.01922742781405099
C(tense)[T.present continuous],-0.008210688148365945,0.03040118139631423,-0.2700779302399541,0.7871003005277324,-0.06779590877261095,0.05137453247587906
C(tense)[T.present perfect],0.14151911535439873,0.030401181396314227,4.655053154334199,3.2389713597654317e-06,0.08193389473015374,0.20110433597864374
C(tense)[T.simple future],0.4397974805747455,0.030401181396314227,14.466460195789153,1.9737144929334961e-47,0.3802122599505005,0.4993827011989905
C(tense)[T.simple past],0.1860458935009444,0.030401181396314224,6.119692885471228,9.375587900978817e-10,0.1264606728766994,0.24563111412518937
C(semantic_role)[T.patient],0.12554171022980623,0.023548653850591073,5.33116292023865,9.758582031531419e-08,0.07938719679824727,0.1716962236613652
C(syntactic_role)[T.subject],-0.23205048737229217,0.023548653850591045,-9.854087152691658,6.5811987439625e-23,-0.2782050008038511,-0.18589597394073326
"C(valence, Treatment(reference='-val'))[T.+val]",-0.06364898127099224,0.023548653850591163,-2.702871326523592,0.006874335248490381,-0.10980349470255138,-0.017494467839433092
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.0642214305182071,0.023548653850591166,2.7271805397315685,0.006387807805590642,0.018066917086647948,0.11037594394976624
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.039156509678242885,0.027191643279384167,1.440019982460203,0.14986174571374095,-0.01413813182981069,0.09245115118629646
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.011065610115261915,0.027191643279384167,-0.4069489291826473,0.684045498202885,-0.06436025162331549,0.04222903139279166
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.005802998943161499,0.027191643279384177,-0.21341111618513856,0.8310063107542638,-0.05909764045121509,0.0474916425648921
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.0030073309204681434,0.027191643279384177,-0.1105976159501991,0.9119354380852467,-0.05630197242852174,0.050287310587585454
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.03340153781357206,0.027191643279384173,1.2283751103375216,0.21930618683159275,-0.01989310369448153,0.08669617932162565
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.1591132898104095,0.02719164327938416,5.851551087794835,4.870096396587155e-09,0.10581864830235595,0.21240793131846308
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.04443947504576923,0.02719164327938416,1.6343063414435797,0.1021945428131695,-0.008855166462284333,0.09773411655382279
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.11952630614195263,0.027191643279384167,4.395699991863811,1.1041634889709612e-05,0.06623166463389905,0.17282094765000622
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.26847793376540025,0.027191643279384167,9.87354574370103,5.421360646742421e-23,0.21518329225734667,0.3217725752734538
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.08062112718236154,0.027191643279384163,2.9649229490843574,0.003027587484155699,0.027326485674307975,0.1339157686904151
"C(tense)[T.past perfect]:C(valence, Treatment(reference='-val'))[T.+val]",-0.0989784381549699,0.027191643279384187,-3.6400315029879824,0.0002726046865152352,-0.1522730796630235,-0.04568379664691628
"C(tense)[T.present continuous]:C(valence, Treatment(reference='-val'))[T.+val]",0.025503937438725192,0.02719164327938419,0.9379329221364653,0.3482788829614013,-0.02779070406932843,0.07879857894677882
"C(tense)[T.present perfect]:C(valence, Treatment(reference='-val'))[T.+val]",-0.14021509275408148,0.027191643279384187,-5.1565509047549165,2.515401224805998e-07,-0.19350973426213508,-0.08692045124602786
"C(tense)[T.simple future]:C(valence, Treatment(reference='-val'))[T.+val]",-0.17510901528546993,0.02719164327938419,-6.439809962431797,1.1962318336068226e-10,-0.22840365679352356,-0.1218143737774163
"C(tense)[T.simple past]:C(valence, Treatment(reference='-val'))[T.+val]",-0.1330336401997047,0.027191643279384184,-4.892445772137886,9.959056113525103e-07,-0.1863282817077583,-0.0797389986916511
"C(tense)[T.past perfect]:C(dominance, Treatment(reference='-dom'))[T.+dom]",0.004770227592061307,0.02719164327938419,0.1754299121626804,0.8607418385130902,-0.04852441391599232,0.05806486910011493
"C(tense)[T.present continuous]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.008667368452650825,0.027191643279384194,-0.31875118261874735,0.7499151993074243,-0.06196200996070446,0.0446272730554028
"C(tense)[T.present perfect]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.007025902520615786,0.027191643279384194,-0.25838462385032074,0.7961100821914615,-0.06032054402866942,0.046268738987437844
"C(tense)[T.simple future]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.018095065062903773,0.0271916432793842,-0.6654641971058384,0.5057536359303293,-0.07138970657095742,0.03519957644514987
"C(tense)[T.simple past]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.04112602988851426,0.027191643279384187,-1.5124510668943154,0.13041915207343202,-0.09442067139656787,0.01216861161953936
