run_dir,run_name,input_csv,target_model,step,candidate_term,candidate_model,lr_stat,df_diff,p_value,aic,bic,log_likelihood,R2m,R2c,converged,nobs,optimizer,formula,re_formula
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,1,lex_emb_norm,selected_mixed_random_slopes__candidate__1__lex_emb_norm,1.019098537741229,1,0.3127329339877033,17662.938102823595,17861.565674997837,-8805.469051411797,0.0297469628168776,0.919970681553312,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,2,C(dominance),selected_mixed_random_slopes__candidate__2__C_dominance,2.8335960545227863,1,0.0923114462943494,17663.771698878118,17854.759749045657,-8806.885849439059,0.0304933741874301,0.9212217206226267,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,0,log_frequency,selected_mixed_random_slopes__candidate__0__log_frequency,0.0929362103925086,1,0.7604770405745964,17663.919004285854,17870.1860984668,-8804.959502142927,0.0368810927384084,0.9208124981236222,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance) + lex_emb_norm,1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,0,lex_emb_norm,selected_mixed_random_slopes__candidate__0__lex_emb_norm,0.8607195540971588,1,0.3535374078211096,17664.68678762956,17870.953881810503,-8805.34339381478,0.0315322944949967,0.9208710491576154,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance) + log_frequency,1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,he_she_odds_results__Qwen_Qwen3-4B-Base__30e60832,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,1,C(dominance),selected_mixed_random_slopes__candidate__1__C_dominance,2.8335896010685246,1,0.0923118171686287,17664.752593886922,17863.380166061164,-8806.376296943461,0.0374965384395037,0.9220397749240234,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + lex_emb_norm,1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-8B-Base.csv,Qwen_Qwen3-8B-Base,0,lex_emb_norm,selected_mixed_random_slopes__candidate__0__lex_emb_norm,0.0119929835491348,1,0.9127960227057804,21652.993109142524,21859.26020332347,-10799.496554571262,0.054549448216502,0.9043976878154796,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance) + log_frequency,1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-8B-Base.csv,Qwen_Qwen3-8B-Base,0,log_frequency,selected_mixed_random_slopes__candidate__0__log_frequency,2.115125969517976,1,0.145850052376091,21655.096242128493,21861.36333630944,-10800.548121064248,0.0412051371205324,0.9000013998432752,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance) + lex_emb_norm,1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-8B-Base.csv,Qwen_Qwen3-8B-Base,1,log_frequency,selected_mixed_random_slopes__candidate__1__log_frequency,4.13623805923271,1,0.041974353003458,21655.12934720176,21853.756919376,-10801.564673600878,0.0302314090276928,0.897927918517773,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-8B-Base.csv,Qwen_Qwen3-8B-Base,1,C(dominance),selected_mixed_random_slopes__candidate__1__C_dominance,12.56138700444717,1,0.0003937993594812,21663.55449614697,21862.182068321214,-10805.777248073486,0.0500250656796956,0.904429329511054,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + log_frequency,1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,he_she_odds_results__Qwen_Qwen3-8B-Base__3794e0cc,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/modelling_data/he_she_odds_results__Qwen_Qwen3-8B-Base.csv,Qwen_Qwen3-8B-Base,0,C(dominance),selected_mixed_random_slopes__candidate__0__C_dominance,12.561311428551562,1,0.0003938152857081,21665.542427587527,21871.80952176847,-10805.771213793763,0.0502165844935279,0.9045997038537,True,15360,lbfgs,log_he_she_odds ~ C(tense) + C(semantic_role) + C(syntactic_role) + C(valence) + log_frequency + lex_emb_norm,1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance)
