predictor,unique_r2,relative_r2
profession_embedding_2,0.6306256616506539,0.8380157854984471
profession_embedding_9,0.030211262663134453,0.04014666156349915
C(tense),0.01851378877474119,0.024602308764294773
profession_embedding_10,0.01481910869274139,0.019692581140813244
profession_embedding_4,0.01433678667053373,0.019051640733717252
log_frequency,0.013528103925886548,0.017977011287619693
lex_emb_norm,0.013333617285177235,0.017718564978035076
profession_embedding_8,0.008273790388755753,0.010994742798024012
profession_embedding_3,0.006867213795679561,0.009125593697073765
C(syntactic_role),0.0008773891569089365,0.0011659309289607947
"C(dominance, Treatment(reference='-dom'))",0.0006309852672684579,0.0008384936524845208
profession_embedding_7,0.00030454455327488805,0.00040469831558061263
profession_embedding_6,9.414146931119305e-05,0.00012510121637977526
C(semantic_role),5.928419825329545e-05,7.878064117600524e-05
"C(valence, Treatment(reference='-val'))",4.673524188048006e-05,6.210478389416777e-05
