feature,coefficient,nonzero
Intercept,0.0,False
C(tense)[T.past perfect],0.04750023332986888,True
C(tense)[T.present continuous],-0.09991117338018506,True
C(tense)[T.present perfect],-0.0112274093039481,True
C(tense)[T.simple future],0.04306795528410314,True
C(tense)[T.simple past],0.028178419376251884,True
C(semantic_role)[T.patient],0.03745866145096794,True
C(syntactic_role)[T.subject],-0.1649127604329192,True
"C(valence, Treatment(reference='-val'))[T.+val]",-0.0891830033591627,True
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.03182416349674419,True
log_frequency,-0.412819668108786,True
lex_emb_norm,-0.0,False
profession_embedding_1,0.34763514419207203,True
profession_embedding_2,-0.06389041634377209,True
profession_embedding_3,-0.40866661098138646,True
profession_embedding_4,-0.42998712537774586,True
profession_embedding_5,-0.42259770455249335,True
profession_embedding_6,0.24411463028642535,True
profession_embedding_7,0.38132861292184966,True
profession_embedding_8,-0.07323366614535276,True
profession_embedding_9,0.26534990431889244,True
profession_embedding_10,-0.24431406534376826,True
