,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
Group,1.7733135548724992,0.015995745667775972,-0.20353429415413257,-0.20332689600042747,-0.3206729176306829,-0.042416707355841,0.0629965114188324,-0.03940636666653693,-0.07507005624079773,0.014346358964684305
C(tense)[T.past perfect],0.015995745667775972,0.018060657382975884,-0.005210541716819591,0.0005777011707692916,0.001597998607410195,0.01006050285893896,-0.0029570921668305803,-0.011993680240510708,-0.005606548450566152,0.006812871259115197
C(tense)[T.present continuous],-0.20353429415413257,-0.005210541716819591,0.03509193974876226,0.03052377577995757,0.04747023113481702,0.004022971997696508,-0.008937396108264916,0.005257425244085697,0.011083518000993681,-0.0030495221423989544
C(tense)[T.present perfect],-0.20332689600042747,0.0005777011707692916,0.03052377577995757,0.029104954025689286,0.04641681761788328,0.007216292591071439,-0.00956022669165912,0.0015310495260273532,0.008589987797222243,-0.0010882669670292434
C(tense)[T.simple future],-0.3206729176306829,0.001597998607410195,0.04747023113481702,0.04641681761788328,0.11440239785791645,0.012828700029189843,-0.020568844284802018,-0.014374605702953748,0.014749455030276538,0.00429243547516993
C(tense)[T.simple past],-0.042416707355841,0.01006050285893896,0.004022971997696508,0.007216292591071439,0.012828700029189843,0.007944284443653695,-0.004565416261020885,-0.005885578820560079,-0.00036627035502881367,0.0031206823855056414
C(semantic_role)[T.patient],0.0629965114188324,-0.0029570921668305803,-0.008937396108264916,-0.00956022669165912,-0.020568844284802018,-0.004565416261020885,0.00853566312893989,0.0058809058995987745,-0.0006785512139535701,0.000431109419808349
C(syntactic_role)[T.subject],-0.03940636666653693,-0.011993680240510708,0.005257425244085697,0.0015310495260273532,-0.014374605702953748,-0.005885578820560079,0.0058809058995987745,0.04586570247021093,0.0041127206316777295,-0.0015266061110651152
"C(valence, Treatment(reference='-val'))[T.+val]",-0.07507005624079773,-0.005606548450566152,0.011083518000993681,0.008589987797222243,0.014749455030276538,-0.00036627035502881367,-0.0006785512139535701,0.0041127206316777295,0.00944641141285352,-0.0016153380281127242
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.014346358964684305,0.006812871259115197,-0.0030495221423989544,-0.0010882669670292434,0.00429243547516993,0.0031206823855056414,0.000431109419808349,-0.0015266061110651152,-0.0016153380281127242,0.005568076312142083
