term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,30.831184205463856,0.5904795108313293,52.21380867569306,0.0,29.673774194926736,31.988594216000976
C(tense)[T.past perfect],-0.19875672808328515,0.1328434635035347,-1.4961724336402642,0.1346293241937366,-0.4591457029300921,0.0616322467635218
C(tense)[T.present continuous],-0.3007475914017336,0.1328434635035356,-2.2639246483793256,0.02359267053416805,-0.5611365662485424,-0.04035861655492495
C(tense)[T.present perfect],-0.46760537141336955,0.1328434635035355,-3.5199727489860626,0.000432843769212666,-0.7279943462601781,-0.20721639656656105
C(tense)[T.simple future],-0.24794145216644503,0.13284346350353535,-1.866418155830803,0.06200197423293998,-0.5083304270132531,0.012447522680363143
C(tense)[T.simple past],-0.17271067337181498,0.13284346350353599,-1.3001066730484472,0.19358396879803266,-0.43309964821862446,0.08767830147499447
C(semantic_role)[T.patient],0.1962926864624067,0.03681078301556829,5.332477887780576,9.825648033804792e-08,0.12413917736275093,0.26844619556206245
C(syntactic_role)[T.subject],-0.34721062978107253,0.05622939985314554,-6.174894818153553,6.787768743552522e-10,-0.45742693548302515,-0.23699432407911994
C(valence)[T.-val],0.1391785939534418,0.06011175694696797,2.315330661125551,0.020607985696592702,0.02135240698982853,0.25700478091705503
C(dominance)[T.-dom],0.057951026706625434,0.1385362431620541,0.4183095007047121,0.675726707223173,-0.2135964727692174,0.3294985261824683
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.21612129211428321,0.0736215660311364,-2.935570428138952,0.0033342960214249808,-0.36042831031359435,-0.07181427391497205
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243652756,0.0736215660311365,-0.8325158746365967,0.4051307979950484,-0.20559814063583892,0.08301589576278379
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.03758163452147542,0.07362156603113665,-0.5104704578761756,0.6097292605657011,-0.18188865272078708,0.10672538367783624
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1931583404541533,0.07362156603113658,-2.6236651957724093,0.008707545913618314,-0.33746535865346483,-0.04885132225484179
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.01443023681640437,0.07362156603113677,-0.19600556731299887,0.8446084079218745,-0.15873725501571628,0.12987678138290754
C(tense)[T.past perfect]:C(valence)[T.-val],0.1118640899658182,0.07362156603113644,1.5194473032332405,0.12867057771223314,-0.03244292823349304,0.25617110816512945
C(tense)[T.present continuous]:C(valence)[T.-val],0.02438087463379421,0.07362156603113669,0.33116484677170316,0.7405245007734793,-0.11992614356551753,0.16868789283310595
C(tense)[T.present perfect]:C(valence)[T.-val],0.1333770751953299,0.07362156603113638,1.8116576756723897,0.07005867894304418,-0.01092994300398123,0.27768409339464106
C(tense)[T.simple future]:C(valence)[T.-val],0.016453170776367303,0.07362156603113676,0.223483031716668,0.8231625675056699,-0.1278538474229446,0.16076018897567917
C(tense)[T.simple past]:C(valence)[T.-val],0.12168960571289451,0.07362156603113654,1.6529070525534422,0.09837027074987463,-0.022617412486416924,0.26599662391220597
C(semantic_role)[T.patient]:C(valence)[T.-val],0.049478785196937616,0.042505430966238586,1.1640579585285904,0.24441865115230962,-0.03383691060638726,0.13279448100026248
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.14312807718913412,0.04250543096623859,-3.367289166008422,0.0007609781859271315,-0.226443772992459,-0.05981238138580923
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.058574549357098424,0.04250543096623859,1.3780485934520528,0.16820841051938235,-0.024741146446226464,0.1418902451604233
C(valence)[T.-val]:C(dominance)[T.-dom],-0.19455121358234836,0.0425054309662386,-4.57709071899253,4.75191641616733e-06,-0.27786690938567327,-0.11123551777902346
log_frequency,-0.01673316556860733,0.05130717117169549,-0.3261369743541518,0.7443251779729618,-0.11730131812458128,0.0838349869873666
C(tense)[T.past perfect]:log_frequency,0.011232913484190726,0.016379273571862033,0.6858004681897344,0.4928493179702478,-0.020872409138619916,0.04333823610700137
C(tense)[T.present continuous]:log_frequency,0.014060340291534756,0.0163792735718621,0.8584227029267628,0.39067252490932114,-0.018044982331276018,0.046165662914345526
C(tense)[T.present perfect]:log_frequency,0.02097125019999284,0.016379273571862075,1.280352886712834,0.20044043908416057,-0.011134072422817887,0.053076572822803564
C(tense)[T.simple future]:log_frequency,0.04493421616110798,0.016379273571862037,2.7433583036491007,0.006088499868118242,0.012828893538297331,0.07703953878391863
C(tense)[T.simple past]:log_frequency,0.012720739366103547,0.016379273571862075,0.7766363575461908,0.43738533440276306,-0.01938458325670718,0.04482606198891427
C(dominance)[T.-dom]:log_frequency,-0.020623355964167867,0.013420723003245804,-1.536679950788054,0.12439235323537683,-0.046929567894762034,0.005682855966426297
lex_emb_norm,0.19625323102401715,0.3836031292665752,0.5116048750677318,0.6089349460943562,-0.5556544876052318,0.9481609496532661
C(dominance)[T.-dom]:lex_emb_norm,0.2305858991058501,0.19315451195859573,1.1937898668154234,0.2325786600003741,-0.14801989774312918,0.6091916959548294
log_frequency:lex_emb_norm,0.23035942866333653,0.05049694258047036,4.56184903266654,5.109843099828943e-06,0.1313794204292326,0.3293394368974405
profession_embedding_1,-31.81223569841652,0.617019335907484,-51.55792346706368,0.0,-33.02166691994841,-30.602804476884625
profession_embedding_2,3.1933226197457736,0.1060943776491837,30.09888639250002,2.0370009413069059e-193,2.9853650318863916,3.4012802076051556
profession_embedding_3,-3.7659765707730966,0.15079214935622035,-24.974619612832953,5.690697330011037e-135,-4.061547102813373,-3.47040603873282
profession_embedding_4,-0.25584125255127604,0.14784538036983833,-1.7304649757150596,0.08356736947319557,-0.5456357672005729,0.03395326209802091
profession_embedding_5,-1.9632595459695812,0.15986702498851543,-12.280578475208495,1.6733892172173237e-34,-2.2766179126570076,-1.6499011792821545
