term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,7.456092422479954,4.081115809048004,1.8269739873466677,0.06770368062133025,-0.542747579991179,15.454932424951087
C(tense)[T.past perfect],-0.09554976371930121,0.06868366265345563,-1.391157082018163,0.16417779845924152,-0.230167268846373,0.039067741407770584
C(tense)[T.present continuous],-0.3194442489786741,0.06868366265345525,-4.650949536433958,3.3041017936222248e-06,-0.4540617541057451,-0.184826743851603
C(tense)[T.present perfect],-0.34103453800617956,0.06868366265345774,-4.96529341667266,6.859727816890997e-07,-0.4756520431332555,-0.20641703287910362
C(tense)[T.simple future],0.2184714993259318,0.06868366265345685,3.180836473853016,0.0014685049615642861,0.08385399419885761,0.35308900445300595
C(tense)[T.simple past],-0.2403469451721206,0.06868366265345843,-3.4993320956802294,0.0004664252586816557,-0.3749644502991979,-0.10572944004504331
C(semantic_role)[T.patient],-0.2131941407134788,0.4671755711623996,-0.4563469365125863,0.6481405170311403,-1.128841434648711,0.7024531532217535
C(syntactic_role)[T.subject],-0.5140134399017221,0.45589978513171564,-1.1274702394369778,0.25954371639717544,-1.407560599319434,0.3795337195159898
C(valence)[T.-val],0.19848986555779008,0.4643294416803076,0.427476372894853,0.6690323906456161,-0.7115791170972043,1.1085588482127844
C(dominance)[T.-dom],-0.043619928788137,0.45404129578357544,-0.09607039974824007,0.9234646601204014,-0.9335245160178428,0.8462846584415687
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.06482048034667558,0.01757444761709973,3.6883367124213917,0.0002257248129036522,0.030375195968974332,0.09926576472437681
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04911575317383262,0.017574447617099725,-2.79472528775491,0.005194383414510493,-0.08356103755153385,-0.014670468796131382
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.005841445922856188,0.017574447617099732,-0.33238290329947723,0.7396001466075086,-0.04028673030055744,0.028603838454845064
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.025940322875980318,0.01757444761709973,-1.4760249335370683,0.13993719887130418,-0.06038560725368156,0.008504961501720927
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.0027133941650435427,0.017574447617099732,-0.1543942787939145,0.8772988644343557,-0.037158678542744794,0.03173189021265771
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.019978713989253525,0.017574447617099653,1.1368046623448103,0.2556199538726812,-0.014466570388447567,0.05442399836695462
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.12136154174804219,0.017574447617099646,6.90556792407856,5.000297580928554e-12,0.08691625737034112,0.15580682612574326
