term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,0.8230650700413337,0.3051851385762758,2.696936927797428,0.006998052374843347,0.22491318981496755,1.4212169502677
C(tense)[T.past perfect],0.04106924874442162,0.03362626370715472,1.2213443962162005,0.2219556505597492,-0.02483701705624796,0.10697551454509119
C(tense)[T.present continuous],0.07058236258370741,0.03362626370715475,2.0990248336359003,0.035814711653718495,0.004676096783037778,0.13648862838437703
C(tense)[T.present perfect],0.1815761021205377,0.03362626370715474,5.399829838421904,6.670413634507707e-08,0.11566983631986809,0.2474823679212073
C(tense)[T.simple future],0.6221919468471002,0.033626263707154706,18.503154327987847,1.9473600466221967e-76,0.5562856810464307,0.6880982126477697
C(tense)[T.simple past],0.015339006696430329,0.033626263707154665,0.4561614941824966,0.6482738525482217,-0.050567259104239135,0.0812452724970998
C(syntactic_role)[T.subject],-0.21331067085525654,0.05633471192453907,-3.7864872929675824,0.00015279190566202134,-0.3237246773067922,-0.10289666440372085
C(valence)[T.-val],0.007134044101268457,0.042597796612100634,0.1674744862095029,0.8669967210535281,-0.07635610307921112,0.09062419128174803
C(dominance)[T.-dom],0.0483768524039633,0.04300812585905284,1.1248305160402703,0.26066086050639126,-0.03591752532234604,0.13267123013027263
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.0046691894531243755,0.03362626370715465,0.13885543436486264,0.8895643879420814,-0.061237076347545064,0.07057545525379381
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.04478628976004397,0.03362626370715466,1.3318842125928727,0.182898239600224,-0.02111997604062548,0.11069255556071342
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.07720729282924181,0.03362626370715465,-2.2960413771100723,0.021673515659347546,-0.14311355862991126,-0.011301027028572372
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.14817940848214364,0.033626263707154644,-4.406656944482821,1.049782520592113e-05,-0.21408567428281305,-0.08227314268147422
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.11198817661830297,0.03362626370715463,3.3303782303496106,0.0008672808811845719,0.046081910817633576,0.17789444241897237
C(tense)[T.past perfect]:C(valence)[T.-val],0.08145664760044537,0.033626263707154616,2.4224114909059593,0.01541788106508205,0.015550381799775997,0.14736291340111474
C(tense)[T.present continuous]:C(valence)[T.-val],0.024685668945311448,0.03362626370715462,0.7341186984166518,0.4628763983859332,-0.041220596855357935,0.09059193474598083
C(tense)[T.present perfect]:C(valence)[T.-val],0.07138541085379362,0.03362626370715463,2.1229064125433896,0.033761695002239765,0.005479145053124218,0.137291676654463
C(tense)[T.simple future]:C(valence)[T.-val],0.16337454659598116,0.03362626370715461,4.8585399799032745,1.182545322451799e-06,0.0974682807953118,0.22928081239665052
C(tense)[T.simple past]:C(valence)[T.-val],0.0855922154017849,0.0336262637071546,2.5453977327720057,0.010915333161388685,0.019685949601115554,0.15149848120245424
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.01761038643973133,0.033626263707154644,0.5237092825149163,0.6004807583551751,-0.0482958793609381,0.08351665224040075
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.10224565778459921,0.033626263707154665,-3.0406487820067976,0.0023606902566753176,-0.16815192358526868,-0.03633939198392974
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.02211260114397411,0.03362626370715466,-0.6575991117106839,0.5107957655025794,-0.08801886694464356,0.04379366465669535
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.14945504324776882,0.033626263707154644,-4.4445926121720545,8.805856932969167e-06,-0.21536130904843825,-0.08354877744709939
C(tense)[T.simple past]:C(dominance)[T.-dom],0.012190464564731362,0.03362626370715461,0.36252807242862417,0.7169574494298624,-0.05371580123593799,0.07809673036540071
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.03547014508928496,0.019414132403167025,-1.827027051875814,0.06769570210953436,-0.07352114539058438,0.0025808552120144546
C(valence)[T.-val]:C(dominance)[T.-dom],-0.08339843750000019,0.019414132403167042,-4.2957591803791,1.740964984722967e-05,-0.12144943780129963,-0.045347437198700734
