term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,30.859731735074547,0.5988834694915245,51.528775307950426,0.0,29.685848930548968,32.03361453960013
C(tense)[T.past perfect],-0.1987567280832776,0.13285416736339994,-1.4960518892840782,0.13466073964715292,-0.4591666918277618,0.06165323566120662
C(tense)[T.present continuous],-0.3007475914017397,0.1328541673633984,-2.2637422473854314,0.02360390151428328,-0.5611575551462209,-0.04033762765725851
C(tense)[T.present perfect],-0.46760537141333736,0.13285416736340092,-3.51968915009101,0.0004333069255330432,-0.7280153351578235,-0.20719540766885125
C(tense)[T.simple future],-0.24794145216643232,0.13285416736339892,-1.8662677813352488,0.062023008293291604,-0.5083514159109146,0.012468511578049901
C(tense)[T.simple past],-0.17271067337182341,0.13285416736340203,-1.3000019254149557,0.19361987394204622,-0.43312063711631177,0.08769929037266491
C(semantic_role)[T.patient],0.19415818204304516,0.1385474057175454,1.4013844650319376,0.16111939914990378,-0.07741120577382357,0.4657275698599139
C(syntactic_role)[T.subject],-0.4508502747462198,0.14492200128324773,-3.110985707857016,0.0018680655941411075,-0.7349146277801721,-0.16678592171226742
C(valence)[T.-val],0.20259341460600983,0.0902339374055409,2.24520197645248,0.02476937728234996,0.02572416891630036,0.3794626602957193
C(dominance)[T.-dom],0.0579510267066084,0.1385474057175453,0.4182757981391031,0.6757513471934079,-0.21361836111026017,0.32952041452347697
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.2161212921142861,0.07362749808759624,-2.935333913657665,0.0033368393021124196,-0.3604399423162224,-0.07180264191234981
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06129112243651082,0.07362749808759622,-0.8324488000881335,0.4051686469400936,-0.2056097726384471,0.08302752776542545
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.037581634521509054,0.07362749808759661,-0.5104293300418435,0.6097580696429619,-0.18190028472344608,0.10673701568042795
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.19315834045414593,0.07362749808759618,-2.623453811025079,0.008712951935968816,-0.3374769906560821,-0.048839690252209744
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.014430236816402922,0.07362749808759653,-0.19598977544007945,0.8446207691075468,-0.1587488870183398,0.12988841338553395
C(tense)[T.past perfect]:C(valence)[T.-val],0.1118640899658211,0.07362749808759625,1.5193248836560214,0.12870138199303066,-0.03245456023611522,0.25618274016775744
C(tense)[T.present continuous]:C(valence)[T.-val],0.024380874633788595,0.07362749808759643,0.33113816531945817,0.7405446550192478,-0.11993777556814808,0.16869952483572528
C(tense)[T.present perfect]:C(valence)[T.-val],0.13337707519531153,0.07362749808759621,1.8115117131459495,0.07008125818531885,-0.01094157500662471,0.27769572539724774
C(tense)[T.simple future]:C(valence)[T.-val],0.016453170776377802,0.07362749808759655,0.22346502602605123,0.8231765805911611,-0.12786547942555912,0.16077182097831474
C(tense)[T.simple past]:C(valence)[T.-val],0.12168960571289965,0.07362749808759628,1.6527738803255654,0.09839738944725514,-0.02262904448903673,0.266008255914836
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.029471460978199526,0.04250885584063251,-0.6933016755070819,0.48813076564147767,-0.11279387252137121,0.05385095056497216
C(semantic_role)[T.patient]:C(valence)[T.-val],0.04947878519694822,0.042508855840632444,1.1639641721350098,0.24445666398466614,-0.03384362634622334,0.13280119674011978
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.1431280771891299,0.042508855840632485,-3.3670178685995023,0.0007617273867512865,-0.22645048873230153,-0.05980566564595827
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.058574549357097945,0.0425088558406325,1.377937566155542,0.16824269739982067,-0.024747862186073714,0.1418969609002696
C(valence)[T.-val]:C(dominance)[T.-dom],-0.1945512135823377,0.04250885584063246,-4.576721949697227,4.7603001582523675e-06,-0.2778736251255093,-0.11122880203916612
log_frequency,-0.02057436852828805,0.052395446197802294,-0.39267474601926444,0.6945651901962127,-0.12327567263886308,0.08212693558228698
C(tense)[T.past perfect]:log_frequency,0.0112329134841863,0.016380593331558065,0.6857452142802122,0.49288416939917323,-0.020874997018283395,0.043340823986655994
C(tense)[T.present continuous]:log_frequency,0.014060340291537157,0.016380593331557853,0.8583535411046047,0.39071070632340404,-0.01804757021093212,0.04616825079400644
C(tense)[T.present perfect]:log_frequency,0.02097125019999815,0.016380593331558075,1.2802497306123786,0.20047671121520508,-0.011136660302471565,0.05307916070246786
C(tense)[T.simple future]:log_frequency,0.04493421616110957,0.016380593331557915,2.743137275408814,0.0060926004672729175,0.012826305658640166,0.07704212666357897
C(tense)[T.simple past]:log_frequency,0.012720739366106315,0.016380593331558158,0.7765737851265178,0.43742226619086444,-0.019387171136363568,0.044828649868576195
C(semantic_role)[T.patient]:log_frequency,0.013154040417845961,0.013421804377778837,0.9800500772924253,0.3270768812399633,-0.013154291949647637,0.03946237278533956
C(syntactic_role)[T.subject]:log_frequency,0.0034408542123429905,0.013421804377778792,0.25636301316085985,0.7976739883399085,-0.02286747815515052,0.029749186579836502
