feature,coefficient,nonzero
Intercept,0.0,False
C(semantic_role)[T.patient],0.045017334767799275,True
"C(valence, Treatment(reference='-val'))[T.+val]",-0.07491992069248905,True
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.0038455361485259794,True
C(syntactic_role)[T.subject],-0.062455618751124264,True
C(tense)[T.past perfect],0.003436286277480708,True
C(tense)[T.present continuous],-0.026401714766764648,True
C(tense)[T.present perfect],-0.0,False
C(tense)[T.simple future],0.05389370558766251,True
C(tense)[T.simple past],-0.0,False
"C(semantic_role)[T.patient]:C(valence, Treatment(reference='-val'))[T.+val]",-0.0,False
"C(semantic_role)[T.patient]:C(dominance, Treatment(reference='-dom'))[T.+dom]",0.0,False
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.06566249512422977,True
C(semantic_role)[T.patient]:C(tense)[T.past perfect],0.0,False
C(semantic_role)[T.patient]:C(tense)[T.present continuous],-0.0,False
C(semantic_role)[T.patient]:C(tense)[T.present perfect],0.0,False
C(semantic_role)[T.patient]:C(tense)[T.simple future],0.0419732252036054,True
C(semantic_role)[T.patient]:C(tense)[T.simple past],-0.0,False
"C(valence, Treatment(reference='-val'))[T.+val]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.0,False
"C(valence, Treatment(reference='-val'))[T.+val]:C(syntactic_role)[T.subject]",0.006265749539966252,True
"C(valence, Treatment(reference='-val'))[T.+val]:C(tense)[T.past perfect]",0.0016026108245960297,True
"C(valence, Treatment(reference='-val'))[T.+val]:C(tense)[T.present continuous]",-0.0,False
"C(valence, Treatment(reference='-val'))[T.+val]:C(tense)[T.present perfect]",-0.0,False
"C(valence, Treatment(reference='-val'))[T.+val]:C(tense)[T.simple future]",-0.00779322936263438,True
"C(valence, Treatment(reference='-val'))[T.+val]:C(tense)[T.simple past]",-0.0,False
"C(dominance, Treatment(reference='-dom'))[T.+dom]:C(syntactic_role)[T.subject]",0.0009611114662784291,True
"C(dominance, Treatment(reference='-dom'))[T.+dom]:C(tense)[T.past perfect]",0.0,False
"C(dominance, Treatment(reference='-dom'))[T.+dom]:C(tense)[T.present continuous]",0.0,False
"C(dominance, Treatment(reference='-dom'))[T.+dom]:C(tense)[T.present perfect]",-0.0,False
"C(dominance, Treatment(reference='-dom'))[T.+dom]:C(tense)[T.simple future]",0.03605415899924447,True
"C(dominance, Treatment(reference='-dom'))[T.+dom]:C(tense)[T.simple past]",0.0,False
C(syntactic_role)[T.subject]:C(tense)[T.past perfect],0.000808738461284473,True
C(syntactic_role)[T.subject]:C(tense)[T.present continuous],-0.0,False
C(syntactic_role)[T.subject]:C(tense)[T.present perfect],-0.011606602804764962,True
C(syntactic_role)[T.subject]:C(tense)[T.simple future],-0.023732457587524427,True
C(syntactic_role)[T.subject]:C(tense)[T.simple past],0.009717059950799798,True
male_perc,1.262505561898695,True
male_perc:C(semantic_role)[T.patient],0.02359445482726197,True
"male_perc:C(valence, Treatment(reference='-val'))[T.+val]",-0.03571572539558489,True
"male_perc:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.01626463043678657,True
male_perc:C(syntactic_role)[T.subject],0.0,False
male_perc:C(tense)[T.past perfect],0.013032652823946124,True
male_perc:C(tense)[T.present continuous],-0.021585622756552014,True
male_perc:C(tense)[T.present perfect],-0.039953295177809676,True
male_perc:C(tense)[T.simple future],-0.08225276506796982,True
male_perc:C(tense)[T.simple past],0.0,False
