term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.0996132986819473,0.3003399249358934,3.66122918528616,0.0002510080928682932,0.510957862688133,1.6882687346757617
C(tense)[T.past perfect],-0.023397827148434573,0.03156306425457414,-0.7413040432233617,0.45850911073428136,-0.08526029632912346,0.03846464203225431
C(tense)[T.present continuous],-0.09877188546316605,0.03156306425457415,-3.1293503275383645,0.0017519329898943608,-0.16063435464385495,-0.03690941628247715
C(tense)[T.present perfect],-0.14266749790736225,0.03156306425457416,-4.520077542429572,6.181698502116526e-06,-0.20452996708805116,-0.08080502872667332
C(tense)[T.simple future],0.24446934291294897,0.03156306425457417,7.74542487196946,9.52627653463013e-15,0.18260687373226003,0.3063318120936379
C(tense)[T.simple past],-0.14485430036271907,0.03156306425457421,-4.589361134089709,4.4460465738233505e-06,-0.2067167695434081,-0.08299183118203005
C(syntactic_role)[T.subject],-0.4501973470050072,0.04357662891307438,-10.331165081701252,5.0938080658871375e-25,-0.5356059702422997,-0.3647887237677146
C(valence)[T.-val],0.1500877743675601,0.024448644442648132,6.138899631823657,8.309504473561368e-10,0.10216931178914443,0.19800623694597577
C(dominance)[T.-dom],0.1887863885788701,0.024448644442648146,7.721752795813565,1.1474076377095763e-14,0.1408679260004544,0.2367048511572858
C(semantic_role)[T.patient],-0.13452293759333592,0.03025084169495841,-4.44691552551926,8.711207398911484e-06,-0.193813497817477,-0.07523237736919483
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.033816092354911835,0.02823086290056872,1.1978412588384113,0.23097882151556937,-0.02151538218269082,0.08914756689251449
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.13520420619419712,0.028230862900568716,4.789233919997303,1.6741922875737184e-06,0.07987273165659448,0.19053568073179977
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.14495413643973273,0.028230862900568716,5.134598150622332,2.8274750592279747e-07,0.08962266190213009,0.20028561097733538
C(tense)[T.simple future]:C(syntactic_role)[T.subject],0.20775146484375087,0.028230862900568726,7.3590192965573715,1.8526625104611037e-13,0.1524199903061482,0.2630829393813535
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.10528128487723275,0.02823086290056876,3.7292974447164937,0.00019201438640795683,0.04994981033963001,0.1606127594148355
C(tense)[T.past perfect]:C(valence)[T.-val],0.01714477539062367,0.028230862900568646,0.607306105059875,0.543647787535894,-0.038186699146978836,0.07247624992822618
C(tense)[T.present continuous]:C(valence)[T.-val],-0.0698146275111622,0.02823086290056865,-2.4729894993665225,0.013398807982254162,-0.12514610204876472,-0.014483152973559683
C(tense)[T.present perfect]:C(valence)[T.-val],0.04023175920758763,0.028230862900568657,1.4250984587076594,0.1541287421386239,-0.015099715330014897,0.09556323374519016
C(tense)[T.simple future]:C(valence)[T.-val],0.02691127232142762,0.028230862900568657,0.9532571645511249,0.3404597891683804,-0.02842020221617491,0.08224274685903016
C(tense)[T.simple past]:C(valence)[T.-val],0.10798252650669452,0.028230862900568678,3.824981435637213,0.0001307819410099602,0.05265105196909194,0.16331400104429708
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.03155604771205493,0.02823086290056865,-1.11778544719649,0.26365863836981074,-0.08688752224965746,0.023775426825547584
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.08299647739955517,0.028230862900568653,-2.9399199624848653,0.0032829703804749593,-0.1383279519371577,-0.027665002861952642
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.007223946707591011,0.02823086290056866,-0.2558882713941237,0.7980371112663276,-0.06255542124519355,0.04810752783001153
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.11198381696428668,0.028230862900568657,-3.966716049690106,7.286972095752986e-05,-0.1673152915018892,-0.05665234242668415
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.00036185128348411943,0.028230862900568685,-0.012817577867123228,0.9897733325374155,-0.05569332582108671,0.054969623254118465
C(tense)[T.past perfect]:C(semantic_role)[T.patient],0.044624546595978865,0.02823086290056884,1.5807007654406375,0.1139464732858309,-0.010706927941624027,0.09995602113358176
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.003631591796878663,0.02823086290056884,-0.12863906461766308,0.8976432540045916,-0.058963066334481555,0.05169988274072423
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.04489658900669282,0.028230862900568865,1.5903371131382644,0.11175883726438735,-0.01043488553091012,0.10022806354429575
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.02298758370535421,0.02823086290056886,0.8142713804504716,0.41548950131279894,-0.03234389083224872,0.07831905824295715
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.002252197265621298,0.028230862900568875,0.07977784007359953,0.93641394919711,-0.05307927727198166,0.05758367180322426
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.09267578124999866,0.016299096295098778,-5.685945991856416,1.3009050616836524e-08,-0.12462142296894249,-0.06073013953105483
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],-0.015538969494046755,0.01629909629509878,-0.9533638683219142,0.3404057415935148,-0.04748461121299059,0.016406672224897084
C(valence)[T.-val]:C(dominance)[T.-dom],-0.20159040178571386,0.016299096295098774,-12.368195029704388,3.884525747402606e-35,-0.23353604350465768,-0.16964476006677004
C(valence)[T.-val]:C(semantic_role)[T.patient],0.038557361421130476,0.016299096295098785,2.3656134501594948,0.018000227349539738,0.00661171970218663,0.07050300314007432
C(dominance)[T.-dom]:C(semantic_role)[T.patient],0.03622407459077313,0.01629909629509879,2.2224590820821066,0.02625229634759224,0.004278432871829267,0.068169716309717
