model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,secretary,"A secretary acknowledged a parent. As for the secretary,",0.18535907566547394,0.21426862478256226,0.8650780916213989,-0.1449355036020279
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,secretary,"A secretary intrigued a parent. As for the secretary,",0.19876332581043243,0.25064387917518616,0.7930108904838562,-0.2319183200597763
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,secretary,"A secretary directed a parent. As for the secretary,",0.12811142206192017,0.1894202083349228,0.6763345003128052,-0.3910675048828125
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,complement,secretary,"A secretary complemented a parent. As for the secretary,",0.12191250920295715,0.2091997116804123,0.5827565789222717,-0.539985716342926
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,secretary,"A secretary commended a parent. As for the secretary,",0.20276522636413574,0.1905326247215271,1.0642021894454956,0.062225401401519775
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,secretary,"A secretary alarmed a parent. As for the secretary,",0.15296147763729095,0.24958765506744385,0.6128567457199097,-0.4896240830421448
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,secretary,"A secretary intimidated a parent. As for the secretary,",0.193539559841156,0.19935132563114166,0.9708466529846191,-0.029586749151349068
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,secretary,"A secretary rushed a parent. As for the secretary,",0.2041790932416916,0.1866433471441269,1.093953251838684,0.0897979736328125
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,secretary,"A secretary commanded a parent. As for the secretary,",0.20034505426883698,0.18063248693943024,1.109130859375,0.10357669740915298
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,secretary,"A secretary disliked a parent. As for the secretary,",0.23507842421531677,0.22252021729946136,1.05643630027771,0.05490126460790634
