term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.87477751802106,0.7002739390270208,75.50584788502437,0.0,51.50215722491462,54.247397811127506
C(tense)[T.past perfect],0.2702293214925291,0.2602692675947632,1.0382682672826113,0.2991615867671496,-0.2399294299082403,0.7803880728932985
C(tense)[T.present continuous],-0.058354388296661654,0.26026926759476043,-0.22420775543703264,0.822598643095484,-0.5685131396974256,0.45180436310410227
C(tense)[T.present perfect],-0.11403280481106845,0.26026926759476315,-0.43813395974440006,0.6612953638932103,-0.6241915562118378,0.3961259465897008
C(tense)[T.simple future],0.45993232547360235,0.260269267594762,1.7671403532349228,0.07722465905069191,-0.050226425927164586,0.9700910768743694
C(tense)[T.simple past],0.026152900080136456,0.2602692675947609,0.1004840115078685,0.9199613922401931,-0.4840058513206284,0.5363116514809013
C(semantic_role)[T.patient],-0.1025416118806819,0.15496124550578347,-0.6617242365727812,0.5081579351727091,-0.40628410231495865,0.20120087855359486
C(syntactic_role)[T.subject],-0.44753061963355384,0.1538010024167177,-2.9098030090921476,0.003621776696115505,-0.748998895478036,-0.14606234378907168
C(valence)[T.-val],0.24412391151201246,0.1538010024167177,1.5872712640101552,0.11247188623050158,-0.0573443643324697,0.5455921873564946
C(dominance)[T.-dom],-0.320327555258512,0.15496124550578258,-2.0671462352602124,0.038737156155078785,-0.624070045692787,-0.016585064824236995
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.045387649536141605,0.06556577744369714,-0.6922460360531382,0.4887933388986188,-0.17390437939983402,0.08312908032755081
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.08174285888674246,0.06556577744369689,-1.2467305669781352,0.21251539400608535,-0.2102595887504344,0.04677387097694949
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.07462654113768928,0.06556577744369715,-1.1381934912885432,0.2550575192400565,-0.20314327100138174,0.053890188726003166
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.11838722229005896,0.0655657774436972,-1.8056252347761867,0.07099654649710914,-0.2469039521537515,0.010129507573633567
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.04445838928223279,0.0655657774436969,-0.6780730895841264,0.4977356071938942,-0.17297511914592476,0.0840583405814592
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.0074909210204761045,0.06556577744369686,0.11425047200742437,0.9090407421676449,-0.12102580884321579,0.136007650884168
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06953735351560537,0.06556577744369689,-1.0605739186928576,0.2889003231336863,-0.1980540833792973,0.058979376348086573
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.0437053680419906,0.06556577744369682,0.666588115721218,0.5050453142734335,-0.08481136182170121,0.1722220979056824
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.09280128479009268,0.06556577744369706,-1.4153921208329059,0.15697391355833482,-0.22131801465378492,0.03571544507359957
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.03219795227052765,0.06556577744369725,0.4910786316562284,0.6233778782809155,-0.09631877759316498,0.1607146821342203
C(tense)[T.past perfect]:C(valence)[T.-val],0.05438194274901828,0.06556577744369714,0.8294257289287437,0.40687648836477536,-0.07413478711467414,0.1828986726127107
C(tense)[T.present continuous]:C(valence)[T.-val],-0.06632690429687572,0.06556577744369707,-1.0116085995294153,0.3117412308997447,-0.194843634160568,0.062189825566816556
C(tense)[T.present perfect]:C(valence)[T.-val],-0.0247547149658256,0.06556577744369696,-0.3775554249636271,0.7057661208417151,-0.15327144482951766,0.10376201489786646
C(tense)[T.simple future]:C(valence)[T.-val],0.035567855834948724,0.06556577744369699,0.5424759260346108,0.5874985890609975,-0.09294887402874338,0.16408458569864084
C(tense)[T.simple past]:C(valence)[T.-val],0.04035453796385876,0.06556577744369693,0.6154817274684536,0.5382457882699891,-0.08816219189983324,0.16887126782755077
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.025342178344729065,0.06556577744369695,0.38651533365086777,0.6991204240383293,-0.10317455151896296,0.1538589082084211
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.031083679199211407,0.06556577744369685,-0.4740838957626,0.6354468477846531,-0.15960040906290326,0.09743305066448046
C(tense)[T.present perfect]:C(dominance)[T.-dom],0.0026165008544943172,0.06556577744369707,0.03990650239358742,0.9681681877916484,-0.12590022900919795,0.1311332307181866
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.047475051879877356,0.06556577744369699,-0.7240828025053985,0.4690259737428528,-0.17599178174356947,0.08104167798381476
C(tense)[T.simple past]:C(dominance)[T.-dom],0.05651588439941566,0.06556577744369707,0.8619723063292771,0.38871626768276885,-0.07200084546427662,0.18503261426310794
C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.1100209554036421,0.03785441925674559,-2.9064230164893248,0.0036611133206858417,-0.18422012398581525,-0.03582178682146894
C(semantic_role)[T.patient]:C(valence)[T.-val],0.037567138671874035,0.03785441925674563,0.9924109102579772,0.32101281432382933,-0.03663202991029919,0.11176630725404726
C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.03864237467446547,0.03785441925674561,-1.0208154142420094,0.3073580415685701,-0.11284154325663864,0.03555679390770771
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.08038380940755435,0.03785441925674559,2.123498682210799,0.03372808926200977,0.006184640825381199,0.1545829779897275
C(valence)[T.-val]:C(dominance)[T.-dom],-0.049890645345041146,0.03785441925674561,-1.317960923047332,0.18753646285082423,-0.12408981392721433,0.024308523237132035
log_frequency,-2.965797281333449,0.09412675104869532,-31.508548295681962,3.4801783895241945e-211,-3.1502969198508155,-2.781297642816083
C(tense)[T.past perfect]:log_frequency,0.03888529818829142,0.022513879058357424,1.7271700752899235,0.08415730708079355,-0.005244585204175048,0.0830151815807579
C(tense)[T.present continuous]:log_frequency,0.0033746899251740647,0.022513879058357417,0.1498937573763567,0.8808504128786128,-0.040755193467292394,0.04750457331764052
C(tense)[T.present perfect]:log_frequency,0.021087630669913076,0.02251387905835744,0.9366502598353915,0.3489532747216252,-0.02304225272255343,0.06521751406237958
C(tense)[T.simple future]:log_frequency,0.06463244818708248,0.022513879058357403,2.870782419126934,0.004100189568554195,0.020502564794616054,0.10876233157954891
C(tense)[T.simple past]:log_frequency,0.02589915933682645,0.0225138790583574,1.1503641495849821,0.25001189980723726,-0.018230724055639972,0.07002904272929288
C(semantic_role)[T.patient]:log_frequency,-0.004090442323406895,0.012998394134845303,-0.31468828233492985,0.7530026333283472,-0.02956884237935414,0.02138795773254035
C(syntactic_role)[T.subject]:log_frequency,-0.014924657189555868,0.0129983941348453,-1.148192387053933,0.25090710395025995,-0.04040305724550311,0.01055374286639137
C(valence)[T.-val]:log_frequency,0.0060198842506209455,0.012998394134845328,0.4631252282528651,0.6432811952795426,-0.01945851580532635,0.03149828430656824
C(dominance)[T.-dom]:log_frequency,-0.012768771536174017,0.012998394134845286,-0.9823345409987445,0.32595059723011255,-0.038247171592121224,0.012709628519773194
lex_emb_norm,-14.768099810300253,0.598993077535438,-24.65487559733365,1.1934886817421435e-131,-15.942197556673332,-13.594002063927174
C(tense)[T.past perfect]:lex_emb_norm,-0.5079251708314487,0.3943137399860132,-1.2881244535112204,0.19772212587450902,-1.2808270470707916,0.2649767054078943
C(tense)[T.present continuous]:lex_emb_norm,0.17112752420342212,0.3943137399860138,0.43398823538203857,0.6643031039693694,-0.601774352035922,0.9440294004427663
C(tense)[T.present perfect]:lex_emb_norm,0.07439794899236422,0.3943137399860136,0.18867703924038542,0.8503484509954587,-0.6985039272469796,0.847299825231708
C(tense)[T.simple future]:lex_emb_norm,-0.5982394978472312,0.39431373998601343,-1.5171662490595714,0.12924537701885047,-1.3711413740865748,0.1746623783921123
C(tense)[T.simple past]:lex_emb_norm,-0.18675854523758761,0.3943137399860135,-0.4736293116344666,0.6357710277278087,-0.9596604214769312,0.586143331001756
C(semantic_role)[T.patient]:lex_emb_norm,0.26284925491062827,0.2276571439260934,1.1545838201148637,0.24827892949792352,-0.18338585139332436,0.709084361214581
C(syntactic_role)[T.subject]:lex_emb_norm,0.4623231173504651,0.22765714392609307,2.0307867760150513,0.042293886589089995,0.01608801104651314,0.9085582236544171
C(valence)[T.-val]:lex_emb_norm,-0.24524315354008272,0.22765714392609285,-1.0772477828312694,0.28138656904595893,-0.6914782598440342,0.2009919527638688
C(dominance)[T.-dom]:lex_emb_norm,0.46875576251352297,0.2276571439260923,2.059042621854652,0.03950704345801275,0.022520656209572498,0.9149908688174735
log_frequency:lex_emb_norm,3.391248328345823,0.09601094447846818,35.32147659589328,8.638916950327277e-263,3.2030554463794183,3.5794412103122277
profession_embedding_1,-40.58928502580198,0.5994916805144861,-67.70616898464395,0.0,-41.76436009337623,-39.41420995822772
profession_embedding_2,3.3729015413880954,0.098551451211173,34.22477802138851,1.985439642414541e-247,3.1797289637601196,3.566074119016071
profession_embedding_3,-9.231898618094592,0.17872077637364245,-51.65543036134719,0.0,-9.582212617771702,-8.881584618417481
profession_embedding_4,-5.142846043418676,0.16861162501965857,-30.501135629403176,2.0785182974681983e-198,-5.473344902875314,-4.812347183962038
profession_embedding_5,-0.24394157312807008,0.16055707926190027,-1.5193448600927353,0.128696377864428,-0.5586525639483073,0.07076941769216721
