term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.7617815091056965,0.2717958888977082,6.482002050328112,9.051340986037668e-11,1.2290713557201385,2.2944916624912546
C(tense)[T.past perfect],0.053230837092669445,0.02513114904233679,2.118121897371066,0.034164745483635614,0.003974690079581067,0.10248698410575782
C(tense)[T.present continuous],-0.09851530460272932,0.025131149042336806,-3.9200477637041993,8.853142068815725e-05,-0.14777145161581773,-0.04925915758964091
C(tense)[T.present perfect],0.05602768050595488,0.025131149042336726,2.229411811277267,0.025786517074959974,0.006771533492866626,0.10528382751904314
C(tense)[T.simple future],0.2484130048069931,0.025131149042336733,9.884665615110103,4.851989428192607e-23,0.19915685779390485,0.29766915182008136
C(tense)[T.simple past],0.016961048977714506,0.025131149042336678,0.6749014519448124,0.4997383779924387,-0.03229509803537365,0.06621719599080267
C(semantic_role)[T.patient],0.19448693713686166,0.0194665043424054,9.990850628132327,1.6714122356015386e-23,0.1563332897208545,0.23264058455286882
C(syntactic_role)[T.subject],-0.21276447992874634,0.019466504342405468,-10.929773326855823,8.305563117078773e-28,-0.2509181273447536,-0.17461083251273907
"C(valence, Treatment(reference='-val'))[T.+val]",-0.14886061264227296,0.019466504342405398,-7.647013044761114,2.0570146581951856e-14,-0.18701426005828012,-0.1107069652262658
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.008094597295851675,0.019466504342405398,-0.4158218216004291,0.6775403897000519,-0.04624824471185883,0.030059050120155476
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.08440946876349208,0.022477983044537624,-3.7552065323763304,0.000173198596025098,-0.12846550597588782,-0.04035343155109634
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.04126015910908341,0.022477983044537624,-1.8355810228760734,0.06641964593986967,-0.08531619632147915,0.0027958781033123326
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.05297173313048837,0.022477983044537596,-2.3566052623818976,0.018442839825493693,-0.09702777034288405,-0.008915695918092686
C(tense)[T.simple future]:C(semantic_role)[T.patient],0.09950035088905661,0.0224779830445376,4.426569354194628,9.574360841481326e-06,0.05544431367666092,0.1435563881014523
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.08927461914285485,0.02247798304453758,-3.971647232136767,7.137736472878696e-05,-0.1333306563552505,-0.045218581930459203
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.05692236241306989,0.02247798304453763,2.532360768325367,0.011329735489712594,0.012866325200674142,0.10097839962546563
