term,coef,std_err,t,p_value,ci_low,ci_high
Intercept,52.95760126000318,0.6841554666327248,77.40580005981654,0.0,51.616575126473606,54.298627393532755
C(tense)[T.past perfect],-0.022359256338218447,0.12707076437749337,-0.17595909214644415,0.8603284087818892,-0.2714330767616637,0.2267145640852268
C(tense)[T.present continuous],0.04022304359636457,0.12707076437749407,0.3165405023996897,0.7515966051704431,-0.20885077682708203,0.2892968640198112
C(tense)[T.present perfect],-0.07117611776489359,0.12707076437749418,-0.560129767957072,0.5753991259154771,-0.3202499381883404,0.17789770265855326
C(tense)[T.simple future],0.11531848483489288,0.1270707643774939,0.9075138990453533,0.3641493920523484,-0.1337553355885534,0.36439230525833916
C(tense)[T.simple past],-0.08142872864550411,0.1270707643774945,-0.6408140302327948,0.5216531113482511,-0.3305025490689516,0.16764509177794334
C(semantic_role)[T.patient],-0.08332458932345582,0.14242515697681696,-0.585041232125999,0.5585286179686904,-0.36249484651369185,0.1958456678667802
C(syntactic_role)[T.subject],-0.4312784834030464,0.15496543985991587,-2.783062364052974,0.005391446378340943,-0.7350291874189994,-0.12752777938709342
C(valence)[T.-val],0.26037604774249457,0.1549654398599158,1.6802201057078718,0.09293490792956131,-0.04337465627345827,0.5641267517584474
C(dominance)[T.-dom],-0.3203275552585015,0.1549654398599158,-2.0670902850859405,0.038742422217983366,-0.6240782592744543,-0.01657685124254865
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.04538764953613883,0.06556755212025375,-0.6922272994559244,0.48880509969283226,-0.17390785465499248,0.08313255558271482
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.08174285888674626,0.06556755212025364,-1.2466968224896733,0.2125277649021999,-0.2102630640055997,0.046777346232107164
C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.07462654113769591,0.06556755212025385,-1.138162684506316,0.2550703742641967,-0.20314674625654977,0.05389366398115793
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.11838722229005373,0.0655675521202537,-1.8055763630297879,0.07100417980372511,-0.24690742740890725,0.010132982828799805
C(tense)[T.simple past]:C(semantic_role)[T.patient],-0.044458389282228374,0.06556755212025359,-0.6780547365973013,0.49774723965731577,-0.17297859440108168,0.08406181583662495
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.007490921020484098,0.06556755212025346,0.11424737966037615,0.9090431929223066,-0.121029284098369,0.1360111261393372
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.06953735351560528,0.06556755212025352,-1.0605452127917019,0.2889133689364595,-0.19805755863445848,0.05898285160324793
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.043705368041998316,0.06556755212025332,0.6665700735912948,0.5050568383886761,-0.0848148370768545,0.17222557316085113
