term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,1.2115756080386149,0.2696722712899487,4.492770436660661,7.030255595706359e-06,0.6830276686812006,1.740123547396029
C(tense)[T.past perfect],-0.05919974190847472,0.034866927329244006,-1.6978766539838457,0.08953104440199428,-0.12753766372536832,0.009138179908418871
C(tense)[T.present continuous],0.0876534598214348,0.03486692732924399,2.5139427685650144,0.01193898067115612,0.019315538004541236,0.15599138163832837
C(tense)[T.present perfect],-0.003861781529011494,0.03486692732924404,-0.11075772443453859,0.9118084700345415,-0.07219970334590516,0.06447614028788216
C(tense)[T.simple future],0.3386082240513428,0.034866927329244055,9.711444339614657,2.6949088588880153e-22,0.2702703022344491,0.40694614586823646
C(tense)[T.simple past],0.039101736886166534,0.03486692732924408,1.1214563450611426,0.2620936637662433,-0.02923618493072721,0.10743965870306027
C(syntactic_role)[T.subject],-0.27688947405287817,0.07891512616890499,-3.5086996307937377,0.00045030314940403004,-0.4315602791793663,-0.12221866892639005
C(valence)[T.-val],0.11345505487351645,0.028468726951783038,3.9852521352877215,6.740850992473661e-05,0.057657375362316944,0.16925273438471597
C(dominance)[T.-dom],0.1235584077381023,0.02846872695178305,4.340145168674765,1.4238861863546849e-05,0.06776072822690277,0.17935608724930183
C(semantic_role)[T.patient],0.18591889881092885,0.035861588290206185,5.18434647418289,2.1677362371537138e-07,0.1156314773337214,0.2562063202881363
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.10086582728794855,0.03486692732924382,-2.8928797291337367,0.0038172743853874965,-0.16920374910484176,-0.03252790547105533
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.12589721679687677,0.03486692732924381,-3.610791843171206,0.0003052635916989915,-0.19423513861376995,-0.057559294979983563
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.05287824358259096,0.03486692732924385,-1.5165730861015825,0.12937450480057774,-0.12121616539948424,0.015459678234302325
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.10905761718750072,0.03486692732924385,-3.127824145720781,0.001761055133335472,-0.177395539004394,-0.040719695370607434
C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.023291887555802134,0.03486692732924387,0.6680223736338985,0.5041193108853905,-0.045046034261091175,0.09162980937269545
C(tense)[T.past perfect]:C(valence)[T.-val],0.0931893484933,0.034866927329243715,2.6727146792525045,0.007524021473256067,0.024851426676406982,0.16152727031019304
C(tense)[T.present continuous]:C(valence)[T.-val],-0.03956211635044916,0.03486692732924371,-1.134660246280649,0.25651769985888906,-0.10790003816734217,0.02877580546644385
C(tense)[T.present perfect]:C(valence)[T.-val],0.0887407575334791,0.03486692732924372,2.5451269822405633,0.01092380058495156,0.020402835716586062,0.15707867935037212
C(tense)[T.simple future]:C(valence)[T.-val],0.028327287946427318,0.03486692732924373,0.8124400432230959,0.41653917702234655,-0.04001063387046573,0.09666520976332037
C(tense)[T.simple past]:C(valence)[T.-val],0.11464059012276505,0.034866927329243756,3.2879464553968063,0.0010092103179618873,0.04630266830587196,0.18297851193965814
C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.094767543247773,0.034866927329243715,-2.717978052751704,0.006568219478664305,-0.16310546506466603,-0.026429621430879985
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.050178745814736844,0.034866927329243715,-1.4391502107686658,0.150107968511907,-0.11851666763162987,0.018159176002156177
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.09292428152902249,0.03486692732924373,-2.665112433096009,0.00769625868015427,-0.16126220334591554,-0.02458635971212944
C(tense)[T.simple future]:C(dominance)[T.-dom],-0.10527343750000313,0.03486692732924374,-3.0192920788780757,0.0025336613756307587,-0.1736113593168962,-0.03693551568311006
C(tense)[T.simple past]:C(dominance)[T.-dom],-0.09560982840402217,0.034866927329243756,-2.742135190210232,0.00610412129463825,-0.16394775022091526,-0.02727190658712908
C(syntactic_role)[T.subject]:C(valence)[T.-val],0.06641845703124925,0.02013042987935397,3.299405796563186,0.0009688974057892665,0.026963539474406488,0.10587337458809201
C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.06103457496279584,0.02013042987935397,3.031955866247729,0.0024297472612396336,0.021579657405953072,0.1004894925196386
C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],-0.11452927362351323,0.020130429879353987,-5.6893605506644365,1.2751597369711304e-08,-0.15398419118035603,-0.07507435606667043
C(valence)[T.-val]:C(dominance)[T.-dom],-0.27753615606399074,0.020130429879353984,-13.786896639928948,3.056272461385176e-43,-0.3169910736208335,-0.23808123850714794
